pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
314.230000,81.070000,313.910000,165.320000,304.780000,252.540000,298.840000,350.290000,276.640000,444.870000,239.040000,538.200000,203.840000,620.140000
314.250000,81.080000,313.900000,165.330000,305.030000,253.010000,298.880000,350.250000,276.620000,444.870000,239.010000,539.020000,203.840000,620.140000
314.260000,81.100000,313.890000,165.330000,305.030000,253.010000,298.920000,350.280000,276.680000,444.880000,238.980000,539.810000,203.840000,620.130000
314.240000,81.080000,313.900000,165.300000,305.030000,252.990000,298.900000,350.230000,276.660000,444.870000,238.970000,540.540000,203.920000,620.190000
314.260000,81.090000,313.900000,165.300000,305.050000,253.000000,298.880000,350.230000,276.710000,444.890000,238.990000,540.560000,203.940000,620.170000
314.250000,81.100000,313.910000,165.280000,305.030000,252.980000,298.930000,350.240000,276.760000,444.860000,238.980000,540.560000,203.930000,620.190000
314.270000,81.090000,313.920000,165.270000,305.050000,252.960000,298.850000,350.270000,276.830000,444.870000,239.000000,540.560000,203.930000,620.200000
314.270000,81.090000,313.930000,165.300000,305.050000,252.980000,298.900000,350.200000,276.880000,444.890000,239.000000,540.500000,203.950000,620.200000
314.280000,81.090000,313.950000,165.290000,305.050000,252.960000,298.940000,350.200000,277.000000,444.820000,239.040000,539.830000,203.970000,620.230000
314.280000,81.100000,313.950000,165.290000,305.060000,252.990000,299.040000,350.190000,277.090000,444.830000,239.070000,539.030000,203.980000,620.220000
314.280000,81.100000,313.960000,165.300000,305.130000,252.970000,298.970000,350.200000,276.990000,444.820000,239.100000,538.200000,204.010000,620.230000
314.330000,81.100000,314.020000,165.270000,305.200000,252.980000,299.070000,350.250000,277.130000,444.830000,239.090000,537.500000,204.090000,620.290000
314.330000,81.130000,314.030000,165.310000,305.180000,252.980000,299.030000,350.250000,277.100000,444.810000,239.080000,537.530000,204.090000,620.310000
314.330000,81.100000,314.000000,165.280000,305.180000,252.990000,299.010000,350.240000,277.120000,444.820000,239.090000,537.520000,204.090000,620.310000
314.350000,81.110000,314.000000,165.300000,305.200000,252.970000,298.990000,350.260000,277.090000,444.820000,239.090000,537.530000,204.100000,620.320000
314.340000,81.100000,314.020000,165.310000,305.180000,252.980000,298.930000,350.210000,277.110000,444.810000,239.100000,538.240000,204.090000,620.330000
314.350000,81.110000,314.020000,165.310000,305.240000,253.000000,298.920000,350.320000,277.090000,444.790000,239.080000,539.110000,204.080000,620.330000
314.340000,81.120000,314.030000,165.310000,305.200000,252.980000,298.890000,350.290000,277.070000,444.760000,239.070000,539.940000,204.080000,620.330000
314.360000,81.100000,314.020000,165.300000,305.200000,252.990000,298.900000,350.290000,277.100000,444.800000,239.060000,540.650000,204.080000,620.330000
314.340000,81.120000,314.030000,165.300000,305.220000,252.960000,298.970000,350.300000,277.100000,444.810000,239.060000,540.660000,204.070000,620.330000
314.330000,81.120000,314.050000,165.310000,305.230000,252.960000,298.950000,350.270000,277.100000,444.840000,239.060000,540.640000,204.090000,620.320000
314.330000,81.110000,314.050000,165.300000,305.240000,252.960000,298.920000,350.230000,277.110000,444.860000,239.050000,540.630000,204.090000,620.330000
314.310000,81.110000,314.050000,165.300000,305.270000,252.930000,298.950000,350.230000,277.040000,444.840000,239.060000,540.650000,204.100000,620.330000
314.300000,81.080000,314.080000,165.270000,305.300000,252.940000,299.040000,350.340000,277.030000,444.840000,239.060000,540.680000,204.170000,620.300000
314.270000,81.080000,314.080000,165.270000,305.250000,252.930000,299.150000,350.320000,277.030000,444.820000,239.060000,540.680000,204.170000,620.300000
314.310000,81.080000,314.060000,165.260000,305.290000,252.950000,299.180000,350.330000,277.040000,444.830000,239.060000,540.670000,204.160000,620.310000
314.320000,81.070000,314.080000,165.270000,305.280000,252.970000,299.180000,350.340000,277.070000,444.830000,239.070000,540.670000,204.180000,620.320000
314.320000,81.090000,314.080000,165.280000,305.280000,252.980000,299.190000,350.350000,277.080000,444.860000,239.070000,540.690000,204.170000,620.320000
314.340000,81.090000,314.080000,165.260000,305.320000,252.980000,299.200000,350.390000,277.190000,444.860000,239.070000,540.700000,204.170000,620.330000
314.380000,81.100000,314.090000,165.260000,305.290000,252.970000,299.160000,350.260000,277.140000,444.900000,239.070000,540.710000,204.190000,620.340000
314.370000,81.120000,314.100000,165.260000,305.280000,253.000000,299.170000,350.250000,277.090000,444.910000,239.080000,540.700000,204.200000,620.330000
314.370000,81.080000,314.100000,165.240000,305.280000,252.990000,299.080000,350.220000,277.130000,444.930000,239.090000,540.690000,204.190000,620.320000
314.360000,81.080000,314.110000,165.260000,305.280000,252.980000,299.000000,350.180000,277.100000,444.930000,239.080000,540.710000,204.210000,620.320000
314.340000,81.090000,314.100000,165.250000,305.270000,252.990000,299.100000,350.200000,277.120000,444.910000,239.090000,540.690000,204.210000,620.310000
314.340000,81.090000,314.100000,165.250000,305.280000,252.990000,299.240000,350.260000,277.120000,444.920000,239.090000,540.690000,204.210000,620.310000
314.360000,81.070000,314.150000,165.270000,305.390000,252.990000,299.180000,350.320000,277.220000,444.790000,239.090000,540.700000,204.160000,620.400000
314.320000,81.060000,314.140000,165.270000,305.360000,252.980000,299.090000,350.240000,277.160000,444.770000,239.090000,540.690000,204.170000,620.390000
314.330000,81.070000,314.140000,165.270000,305.370000,252.980000,299.160000,350.270000,277.150000,444.800000,239.090000,540.690000,204.180000,620.400000
314.330000,81.080000,314.140000,165.270000,305.340000,252.980000,299.190000,350.260000,277.140000,444.800000,239.100000,540.700000,204.170000,620.390000
314.320000,81.080000,314.140000,165.260000,305.330000,252.960000,299.160000,350.230000,277.160000,444.840000,239.100000,540.710000,204.180000,620.380000
314.350000,81.090000,314.140000,165.260000,305.330000,252.970000,299.170000,350.230000,277.170000,444.830000,239.100000,540.730000,204.180000,620.390000
314.400000,81.100000,314.140000,165.260000,305.350000,252.980000,299.120000,350.260000,277.170000,444.850000,239.090000,540.740000,204.170000,620.390000
314.340000,81.050000,314.140000,165.250000,305.350000,252.970000,299.050000,350.320000,277.190000,444.750000,239.090000,540.720000,204.180000,620.370000
314.340000,81.050000,314.140000,165.240000,305.360000,252.970000,299.110000,350.240000,277.180000,444.770000,239.090000,540.730000,204.200000,620.380000
314.400000,81.090000,314.130000,165.240000,305.360000,252.960000,299.130000,350.260000,277.190000,444.780000,239.090000,540.730000,204.200000,620.380000
