pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
619.334081,577.091928,1090.724215,577.091928,179.163677,560.829596
618.980000,576.680000,1090.870000,576.600000,179.190000,561.040000
619.060000,576.680000,1090.390000,575.630000,179.160000,560.970000
619.060000,575.790000,1090.270000,575.040000,179.310000,560.920000
619.090000,575.270000,1090.350000,574.920000,179.220000,560.830000
619.210000,575.260000,1090.330000,574.640000,179.190000,560.800000
619.140000,575.120000,1090.590000,574.550000,179.200000,560.820000
619.110000,575.030000,1091.200000,574.210000,179.180000,560.740000
619.150000,575.020000,1091.630000,574.350000,179.160000,560.730000
619.070000,575.030000,1091.560000,574.120000,179.130000,560.730000
619.060000,574.990000,1091.060000,573.370000,179.180000,560.730000
618.950000,575.000000,1090.670000,573.070000,179.110000,560.720000
618.950000,574.850000,1090.410000,572.990000,179.180000,560.720000
619.160000,574.790000,1090.380000,573.000000,179.130000,560.700000
619.080000,574.800000,1090.340000,572.960000,179.160000,560.700000
619.050000,574.820000,1090.750000,572.940000,179.200000,560.650000
619.140000,574.960000,1090.780000,572.940000,179.090000,560.660000
618.770000,574.920000,1090.760000,572.960000,179.230000,560.640000
618.540000,574.840000,1090.900000,572.950000,179.530000,560.600000
618.570000,574.840000,1090.810000,572.940000,180.320000,560.700000
618.890000,574.800000,1090.900000,572.920000,181.080000,560.640000
618.870000,574.720000,1090.880000,572.930000,181.900000,560.710000
618.690000,574.880000,1090.650000,572.990000,182.880000,560.750000
618.930000,575.010000,1090.060000,573.020000,183.770000,560.830000
619.020000,575.500000,1089.830000,573.330000,184.720000,561.050000
619.150000,576.360000,1089.940000,575.030000,184.680000,561.160000
619.320000,577.050000,1090.160000,576.500000,184.570000,561.410000
619.310000,577.840000,1090.200000,577.150000,182.690000,562.440000
619.280000,578.520000,1090.530000,578.540000,180.880000,563.010000
619.490000,579.070000,1091.130000,579.200000,179.010000,563.600000
619.960000,579.460000,1091.490000,579.410000,177.620000,563.790000
619.860000,579.360000,1091.670000,579.650000,176.320000,563.610000
620.010000,579.030000,1091.620000,579.330000,177.800000,563.460000
619.770000,578.850000,1091.700000,579.170000,179.170000,562.930000
619.710000,578.820000,1091.330000,579.010000,180.080000,562.200000
619.620000,578.810000,1090.960000,578.900000,180.930000,562.090000
619.150000,577.450000,1090.950000,578.710000,181.650000,561.780000
618.840000,577.240000,1090.580000,577.240000,181.390000,561.160000
618.950000,577.150000,1090.350000,577.040000,180.890000,561.140000
618.720000,576.960000,1090.880000,576.890000,180.000000,561.120000
618.650000,576.940000,1090.780000,576.550000,179.080000,561.120000
618.580000,576.660000,1090.560000,575.720000,178.120000,561.100000
618.890000,576.170000,1090.000000,575.140000,177.320000,561.070000
618.780000,576.000000,1089.990000,575.020000,176.540000,561.000000
619.000000,575.780000,1090.230000,574.950000,177.800000,560.980000
618.950000,575.870000,1090.260000,575.000000,179.230000,560.940000
618.880000,575.520000,1090.140000,574.840000,181.000000,560.940000
618.950000,575.270000,1090.240000,574.820000,182.720000,560.910000
619.040000,575.410000,1090.550000,574.830000,182.630000,560.980000
619.090000,575.440000,1091.060000,574.860000,182.730000,560.990000
619.070000,575.420000,1091.420000,574.860000,182.650000,561.020000
619.080000,575.440000,1091.300000,574.890000,182.790000,561.020000
618.900000,575.450000,1091.300000,574.840000,182.790000,561.010000
619.160000,575.470000,1091.200000,574.800000,182.770000,560.970000
619.200000,575.440000,1091.090000,574.830000,182.810000,560.990000
618.900000,575.380000,1091.100000,574.810000,182.830000,560.960000
618.770000,575.350000,1091.260000,574.760000,182.840000,560.970000
618.980000,575.420000,1091.220000,574.750000,182.840000,560.990000
618.990000,575.340000,1091.440000,574.760000,182.830000,560.980000
619.150000,575.390000,1091.750000,574.810000,182.850000,561.040000
619.220000,575.190000,1091.120000,573.340000,182.870000,561.160000
619.510000,575.180000,1090.830000,573.190000,182.830000,561.140000
620.020000,575.200000,1090.180000,573.180000,182.960000,561.090000
620.050000,575.400000,1090.130000,573.160000,182.950000,561.110000
620.040000,575.720000,1089.980000,573.230000,182.970000,561.140000
619.840000,575.710000,1089.910000,573.260000,182.840000,561.160000
620.070000,575.840000,1089.880000,573.420000,182.850000,561.220000
620.200000,576.560000,1089.960000,575.060000,182.910000,561.420000
619.970000,577.270000,1089.890000,575.640000,182.860000,562.750000
620.000000,578.130000,1089.990000,577.010000,182.750000,563.430000
620.190000,578.900000,1090.510000,578.600000,182.740000,564.330000
620.470000,579.720000,1091.090000,579.470000,182.650000,564.890000
620.840000,580.880000,1091.910000,580.790000,182.710000,565.090000
620.920000,581.120000,1092.410000,581.000000,182.590000,564.880000
620.980000,580.980000,1092.360000,581.050000,182.600000,564.860000
621.080000,580.890000,1091.990000,581.030000,182.660000,564.840000
621.240000,580.740000,1092.140000,580.960000,182.740000,564.870000
621.050000,580.360000,1091.960000,580.710000,182.770000,564.890000
620.830000,579.760000,1091.950000,580.410000,182.770000,564.890000
620.530000,579.070000,1091.700000,579.350000,182.650000,564.880000
619.950000,578.900000,1091.090000,578.870000,182.770000,564.850000
619.220000,578.910000,1091.120000,578.730000,182.660000,564.780000
619.200000,578.830000,1091.040000,578.160000,182.680000,564.710000
619.060000,578.620000,1091.000000,577.670000,182.730000,563.380000
619.050000,577.560000,1090.930000,577.040000,182.710000,562.750000
619.240000,577.260000,1091.060000,576.950000,182.640000,562.740000
619.060000,577.170000,1091.320000,576.910000,182.630000,562.990000
619.350000,577.160000,1091.690000,576.560000,182.730000,563.000000
619.900000,577.140000,1091.810000,576.250000,182.680000,562.980000
619.660000,577.200000,1091.740000,576.020000,182.770000,562.950000
620.060000,577.130000,1091.780000,575.860000,182.880000,562.860000
620.140000,577.100000,1091.660000,575.400000,182.850000,562.900000
620.070000,577.150000,1091.700000,575.190000,182.810000,562.870000
620.200000,576.980000,1091.640000,575.170000,182.790000,562.860000
620.160000,576.940000,1091.720000,575.180000,182.840000,562.860000
620.300000,577.060000,1091.850000,575.140000,182.800000,562.850000
619.990000,577.010000,1091.870000,575.050000,182.830000,562.910000
619.930000,577.040000,1092.140000,575.020000,182.940000,562.910000
620.060000,577.000000,1092.120000,574.990000,182.970000,562.860000
619.920000,576.880000,1092.090000,575.000000,182.870000,562.810000
620.040000,576.980000,1092.040000,574.990000,182.700000,562.760000
620.400000,577.020000,1092.050000,574.970000,182.770000,562.850000
620.870000,577.130000,1092.100000,575.020000,182.860000,562.820000
620.780000,577.200000,1092.090000,575.020000,182.940000,562.830000
620.400000,577.080000,1092.120000,575.060000,183.070000,562.820000
620.190000,577.150000,1092.180000,574.970000,182.980000,562.890000
620.160000,577.230000,1092.050000,575.230000,182.910000,562.870000
620.260000,577.870000,1092.140000,576.120000,182.780000,562.990000
619.930000,578.770000,1091.820000,577.060000,182.680000,563.290000
620.280000,579.280000,1092.260000,578.050000,182.710000,564.190000
620.410000,579.620000,1092.850000,578.930000,182.730000,564.850000
620.950000,580.200000,1093.060000,579.840000,182.740000,565.300000
621.310000,580.690000,1093.330000,580.830000,182.620000,565.150000
622.050000,580.960000,1093.610000,581.210000,182.740000,565.030000
622.410000,581.080000,1094.210000,582.610000,182.730000,565.010000
622.330000,581.290000,1094.800000,582.840000,182.730000,565.060000
622.080000,581.140000,1094.900000,582.810000,182.650000,564.910000
621.960000,581.070000,1094.890000,582.650000,182.620000,564.920000
622.100000,580.930000,1094.260000,581.290000,182.690000,564.910000
621.940000,580.680000,1094.240000,580.810000,182.780000,564.690000
622.190000,579.440000,1094.030000,580.600000,182.430000,564.720000
622.080000,578.980000,1093.840000,579.330000,181.860000,564.680000
621.870000,578.690000,1093.870000,578.990000,180.760000,564.720000
621.670000,578.520000,1093.870000,578.870000,179.920000,563.360000
621.130000,578.480000,1094.140000,578.870000,179.090000,562.610000
621.260000,578.450000,1094.100000,578.620000,178.230000,562.380000
621.460000,578.150000,1093.660000,577.390000,177.400000,562.320000
621.920000,578.150000,1093.240000,577.070000,177.400000,562.070000
622.060000,577.900000,1093.940000,576.980000,177.410000,562.060000
621.790000,577.890000,1094.590000,576.970000,178.640000,561.980000
621.810000,577.570000,1094.890000,576.760000,180.140000,562.170000
621.940000,576.980000,1095.100000,576.740000,181.820000,562.160000
622.080000,576.850000,1094.520000,575.400000,182.600000,562.210000
622.110000,576.850000,1093.990000,575.170000,183.680000,562.230000
622.060000,576.900000,1093.800000,575.130000,184.640000,562.190000
622.070000,576.680000,1094.360000,575.110000,185.670000,562.410000
622.130000,576.660000,1094.880000,575.120000,186.450000,562.920000
622.050000,576.590000,1095.060000,575.030000,186.440000,562.960000
622.290000,576.660000,1095.050000,574.990000,184.880000,562.870000
622.340000,576.140000,1095.110000,575.000000,183.780000,562.750000
622.330000,576.220000,1094.950000,574.990000,182.860000,562.770000
622.430000,576.130000,1094.970000,575.000000,181.940000,562.750000
622.950000,576.320000,1094.990000,574.910000,181.070000,562.670000
623.050000,576.320000,1095.250000,574.880000,180.090000,562.690000
622.670000,576.470000,1095.190000,574.880000,179.330000,562.760000
622.340000,576.530000,1095.220000,574.840000,179.190000,562.660000
622.140000,576.510000,1095.410000,574.860000,179.070000,561.400000
622.080000,576.220000,1095.920000,574.910000,179.040000,560.850000
622.100000,576.440000,1095.760000,574.920000,179.120000,560.840000
622.060000,576.800000,1095.870000,574.920000,179.230000,561.180000
622.060000,576.580000,1095.910000,574.900000,179.250000,561.170000
621.980000,576.250000,1095.880000,574.910000,179.260000,561.160000
622.010000,576.330000,1095.870000,574.920000,179.220000,561.180000
