pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
266.780000,699.220000,299.200000,626.110000,317.950000,558.890000,344.870000,480.970000,360.820000,397.740000,373.780000,313.830000,258.090000,595.850000,253.830000,491.360000,255.290000,405.250000,264.030000,327.110000,374.280000,228.050000
266.830000,699.760000,299.350000,626.400000,318.180000,559.120000,345.090000,481.160000,360.960000,397.870000,373.920000,313.920000,258.270000,596.030000,253.960000,491.830000,255.670000,405.720000,264.150000,327.310000,374.340000,228.140000
266.870000,699.940000,299.770000,626.630000,318.290000,559.350000,345.260000,481.250000,361.060000,397.930000,373.990000,314.000000,258.410000,596.170000,254.100000,491.980000,255.850000,405.910000,264.250000,327.720000,374.400000,228.240000
266.870000,700.070000,299.880000,626.770000,318.220000,559.700000,345.390000,481.380000,361.140000,398.000000,374.050000,314.100000,258.670000,596.360000,254.260000,492.120000,255.990000,406.060000,264.370000,327.930000,374.530000,228.410000
266.940000,700.190000,299.940000,626.890000,318.370000,559.840000,345.820000,481.350000,361.240000,398.030000,374.100000,314.180000,258.800000,596.680000,254.430000,492.260000,256.100000,406.220000,264.540000,328.060000,374.440000,228.660000
267.050000,700.320000,300.070000,626.980000,318.630000,559.880000,345.950000,481.410000,361.330000,398.050000,374.170000,314.210000,258.920000,596.780000,254.760000,492.300000,256.190000,406.340000,264.760000,328.150000,374.470000,228.740000
267.120000,700.430000,300.120000,627.040000,318.930000,559.860000,346.000000,481.490000,361.410000,398.060000,374.190000,314.240000,259.000000,596.840000,254.850000,492.390000,256.260000,406.480000,264.790000,328.240000,374.460000,228.770000
267.120000,700.740000,300.180000,627.110000,318.990000,559.930000,346.010000,481.600000,361.480000,398.080000,374.220000,314.280000,259.050000,596.890000,254.900000,492.480000,256.320000,406.770000,264.830000,328.330000,374.490000,228.820000
267.130000,700.800000,300.220000,627.140000,319.040000,559.990000,346.010000,481.670000,361.850000,398.000000,374.240000,314.310000,259.110000,596.940000,254.900000,492.780000,256.390000,406.830000,264.850000,328.410000,374.590000,228.840000
267.170000,700.870000,300.280000,627.210000,319.100000,560.040000,346.070000,481.710000,361.890000,398.030000,374.250000,314.380000,259.170000,596.980000,254.960000,492.850000,256.480000,406.910000,264.880000,328.530000,374.620000,228.880000
267.220000,700.910000,300.330000,627.260000,319.160000,560.090000,346.100000,481.740000,361.920000,398.030000,374.210000,314.460000,259.200000,597.030000,255.000000,492.910000,256.690000,406.960000,264.900000,328.780000,374.620000,228.910000
267.330000,700.970000,300.470000,627.330000,319.240000,560.130000,346.150000,481.790000,361.950000,398.060000,374.200000,314.560000,259.290000,597.070000,255.060000,492.970000,256.760000,407.020000,264.920000,328.860000,374.640000,228.970000
267.410000,700.990000,300.880000,627.250000,319.290000,560.180000,346.230000,481.830000,361.970000,398.090000,374.200000,314.620000,259.380000,597.110000,255.120000,493.020000,256.820000,407.090000,264.940000,328.940000,374.690000,229.000000
267.560000,701.020000,300.920000,627.330000,319.400000,560.220000,346.260000,481.870000,362.020000,398.120000,374.210000,314.710000,259.470000,597.160000,255.210000,493.080000,256.880000,407.180000,264.970000,329.030000,374.710000,229.100000
267.670000,701.020000,300.950000,627.370000,319.470000,560.240000,346.320000,481.890000,362.040000,398.120000,374.210000,314.730000,259.690000,597.190000,255.240000,493.110000,256.910000,407.230000,264.970000,329.070000,374.680000,229.130000
267.740000,701.040000,300.980000,627.390000,319.790000,560.120000,346.360000,481.910000,362.060000,398.140000,374.220000,314.770000,259.750000,597.210000,255.270000,493.170000,256.930000,407.300000,264.990000,329.120000,374.680000,229.170000
267.790000,701.050000,301.010000,627.440000,319.840000,560.150000,346.400000,481.920000,362.080000,398.150000,374.240000,314.800000,259.810000,597.270000,255.330000,493.220000,256.980000,407.370000,265.000000,329.180000,374.690000,229.200000
267.830000,701.040000,301.040000,627.520000,319.870000,560.200000,346.470000,481.920000,362.110000,398.190000,374.260000,314.830000,259.860000,597.320000,255.380000,493.280000,257.010000,407.480000,265.030000,329.240000,374.730000,229.220000
267.860000,701.060000,301.040000,627.660000,319.890000,560.240000,346.790000,481.830000,362.110000,398.200000,374.240000,314.870000,259.900000,597.370000,255.440000,493.310000,257.030000,407.760000,265.040000,329.290000,374.740000,229.260000
267.870000,701.070000,301.060000,627.670000,319.910000,560.260000,346.820000,481.840000,362.100000,398.210000,374.250000,314.870000,259.920000,597.390000,255.460000,493.350000,257.060000,407.800000,265.050000,329.330000,374.730000,229.300000
267.890000,701.100000,301.080000,627.740000,319.940000,560.290000,346.840000,481.850000,362.130000,398.210000,374.270000,314.890000,259.940000,597.440000,255.500000,493.390000,257.080000,407.840000,265.070000,329.380000,374.730000,229.310000
267.900000,701.120000,301.090000,627.740000,319.940000,560.330000,346.860000,481.870000,362.140000,398.220000,374.280000,314.900000,259.950000,597.470000,255.730000,493.360000,257.090000,407.870000,265.070000,329.420000,374.730000,229.350000
267.900000,701.130000,301.090000,627.770000,319.960000,560.350000,346.860000,481.880000,362.150000,398.240000,374.280000,314.910000,259.960000,597.660000,255.740000,493.400000,257.110000,407.900000,265.070000,329.450000,374.740000,229.370000
267.870000,701.100000,301.100000,627.740000,319.960000,560.320000,346.880000,481.870000,362.140000,398.240000,374.270000,314.920000,259.960000,597.650000,255.770000,493.410000,257.120000,407.920000,265.080000,329.510000,374.710000,229.420000
266.870000,700.330000,300.680000,626.840000,319.090000,559.600000,345.500000,481.940000,361.490000,398.360000,373.930000,314.960000,259.290000,596.920000,255.250000,493.260000,256.800000,407.790000,264.960000,329.600000,374.260000,229.530000
264.800000,698.510000,299.100000,625.370000,317.370000,558.330000,343.320000,481.930000,359.890000,398.790000,373.200000,315.130000,257.950000,595.680000,254.040000,492.890000,255.900000,407.160000,264.610000,329.170000,373.910000,229.690000
262.730000,697.050000,297.520000,624.280000,315.340000,557.670000,341.110000,482.030000,358.520000,399.140000,372.700000,315.240000,256.340000,594.840000,252.800000,492.410000,254.870000,406.540000,264.040000,328.730000,373.680000,229.690000
260.540000,696.340000,295.610000,623.850000,313.180000,557.320000,339.020000,482.110000,356.760000,399.700000,371.910000,315.610000,254.740000,594.320000,251.590000,492.000000,253.860000,405.850000,263.780000,328.100000,373.320000,229.710000
