267.13,700.8,300.22,627.14,319.04,559.99,346.01,481.67,361.85,398,374.24,314.31,259.11,596.94,254.9,492.78,256.39,406.83,264.85,328.41,374.59,228.84
267.17,700.87,300.28,627.21,319.1,560.04,346.07,481.71,361.89,398.03,374.25,314.38,259.17,596.98,254.96,492.85,256.48,406.91,264.88,328.53,374.62,228.88
267.22,700.91,300.33,627.26,319.16,560.09,346.1,481.74,361.92,398.03,374.21,314.46,259.2,597.03,255,492.91,256.69,406.96,264.9,328.78,374.62,228.91
267.33,700.97,300.47,627.33,319.24,560.13,346.15,481.79,361.95,398.06,374.2,314.56,259.29,597.07,255.06,492.97,256.76,407.02,264.92,328.86,374.64,228.97
267.41,700.99,300.88,627.25,319.29,560.18,346.23,481.83,361.97,398.09,374.2,314.62,259.38,597.11,255.12,493.02,256.82,407.09,264.94,328.94,374.69,229
267.56,701.02,300.92,627.33,319.4,560.22,346.26,481.87,362.02,398.12,374.21,314.71,259.47,597.16,255.21,493.08,256.88,407.18,264.97,329.03,374.71,229.1
267.67,701.02,300.95,627.37,319.47,560.24,346.32,481.89,362.04,398.12,374.21,314.73,259.69,597.19,255.24,493.11,256.91,407.23,264.97,329.07,374.68,229.13
267.74,701.04,300.98,627.39,319.79,560.12,346.36,481.91,362.06,398.14,374.22,314.77,259.75,597.21,255.27,493.17,256.93,407.3,264.99,329.12,374.68,229.17
267.79,701.05,301.01,627.44,319.84,560.15,346.4,481.92,362.08,398.15,374.24,314.8,259.81,597.27,255.33,493.22,256.98,407.37,265,329.18,374.69,229.2
267.83,701.04,301.04,627.52,319.87,560.2,346.47,481.92,362.11,398.19,374.26,314.83,259.86,597.32,255.38,493.28,257.01,407.48,265.03,329.24,374.73,229.22
267.86,701.06,301.04,627.66,319.89,560.24,346.79,481.83,362.11,398.2,374.24,314.87,259.9,597.37,255.44,493.31,257.03,407.76,265.04,329.29,374.74,229.26
267.87,701.07,301.06,627.67,319.91,560.26,346.82,481.84,362.1,398.21,374.25,314.87,259.92,597.39,255.46,493.35,257.06,407.8,265.05,329.33,374.73,229.3
267.89,701.1,301.08,627.74,319.94,560.29,346.84,481.85,362.13,398.21,374.27,314.89,259.94,597.44,255.5,493.39,257.08,407.84,265.07,329.38,374.73,229.31
267.9,701.12,301.09,627.74,319.94,560.33,346.86,481.87,362.14,398.22,374.28,314.9,259.95,597.47,255.73,493.36,257.09,407.87,265.07,329.42,374.73,229.35
267.9,701.13,301.09,627.77,319.96,560.35,346.86,481.88,362.15,398.24,374.28,314.91,259.96,597.66,255.74,493.4,257.11,407.9,265.07,329.45,374.74,229.37
267.87,701.1,301.1,627.74,319.96,560.32,346.88,481.87,362.14,398.24,374.27,314.92,259.96,597.65,255.77,493.41,257.12,407.92,265.08,329.51,374.71,229.42
266.87,700.33,300.68,626.84,319.09,559.6,345.5,481.94,361.49,398.36,373.93,314.96,259.29,596.92,255.25,493.26,256.8,407.79,264.96,329.6,374.26,229.53
264.8,698.51,299.1,625.37,317.37,558.33,343.32,481.93,359.89,398.79,373.2,315.13,257.95,595.68,254.04,492.89,255.9,407.16,264.61,329.17,373.91,229.69
262.73,697.05,297.52,624.28,315.34,557.67,341.11,482.03,358.52,399.14,372.7,315.24,256.34,594.84,252.8,492.41,254.87,406.54,264.04,328.73,373.68,229.69
260.54,696.34,295.61,623.85,313.18,557.32,339.02,482.11,356.76,399.7,371.91,315.61,254.74,594.32,251.59,492,253.86,405.85,263.78,328.1,373.32,229.71
258.81,695.82,293.92,623.52,311.38,557.1,337.13,482.26,355.19,400.06,371.17,315.88,253.23,594.06,250.4,491.87,252.98,405.17,263.34,327.81,372.98,229.7
257.32,695.89,292.32,623.67,309.95,557.11,335.14,482.7,354.09,400.42,370.82,316.05,252.13,594.13,249.68,491.88,252.28,404.69,263.34,327.43,372.72,229.66
255.85,696.08,290.97,623.81,308.09,557.26,333.22,482.9,352.84,400.78,370.21,316.16,250.87,594.24,249,491.85,251.73,404.29,263.17,327.07,372.16,229.69
253.67,695.1,288.79,622.83,305.76,556.36,330.93,482.17,351.71,400.04,368.85,315.9,248.9,593.47,247.71,491.21,250.46,403.64,262.43,326.32,370.99,229.35
251.04,692.05,286.17,620.32,302.96,554,327.84,480.64,349.24,398.94,366.52,315.05,246.59,591.13,246.6,489.18,248.87,402,261.28,324.88,368.94,228.85
249.28,689.59,284,618.32,300.23,552.57,325,479.85,346.95,398.21,364.57,314.64,244.97,589.22,246.16,487.35,247.74,400.76,260.3,323.77,367.7,228.26
