pt1_cam1_X,pt1_cam1_Y
274.397700,310.066787
273.870000,310.110000
273.800000,310.260000
273.660000,310.360000
273.840000,310.530000
273.870000,310.750000
273.880000,310.810000
273.870000,310.800000
273.880000,310.820000
276.120000,310.110000
290.960000,306.300000
308.790000,297.900000
326.730000,287.230000
343.590000,277.030000
355.030000,272.140000
362.380000,270.220000
367.610000,269.820000
371.040000,270.360000
372.090000,271.420000
369.460000,273.040000
359.250000,275.060000
345.590000,276.890000
332.360000,279.250000
319.060000,281.470000
306.260000,285.830000
296.090000,290.250000
287.940000,294.620000
282.400000,298.260000
279.350000,301.090000
277.680000,302.890000
276.700000,303.920000
276.100000,304.650000
275.560000,305.190000
275.090000,306.010000
274.740000,306.890000
274.200000,307.680000
273.990000,308.070000
273.840000,308.610000
273.640000,309.010000
273.290000,309.310000
273.240000,309.710000
273.220000,309.830000
273.150000,310.000000
273.180000,310.120000
273.180000,310.180000
273.300000,310.240000
273.430000,310.300000
273.700000,310.320000
276.190000,310.080000
292.870000,308.280000
317.232244,291.326674
336.070000,281.650000
348.270000,275.540000
358.800000,269.960000
366.740000,266.810000
371.830000,266.340000
374.920000,268.050000
369.910000,273.950000
365.770000,275.470000
351.210000,279.400000
336.490000,282.450000
322.130000,285.890000
309.810000,289.040000
299.290000,292.230000
290.500000,296.200000
284.480000,301.910000
282.600000,304.110000
280.170000,303.280000
278.120000,303.090000
276.150000,303.920000
274.170000,305.320000
272.070000,306.610000
270.300000,307.860000
269.010000,308.870000
268.410000,309.480000
268.270000,309.850000
268.240000,310.150000
268.200000,310.390000
268.060000,310.750000
268.010000,310.830000
268.000000,310.960000
268.000000,311.100000
267.980000,311.220000
267.990000,311.260000
268.010000,311.310000
276.850000,308.740000
296.330000,302.120000
318.230000,291.780000
337.540000,281.740000
350.390000,275.720000
362.390000,271.700000
371.990000,269.900000
376.350000,268.950000
372.120000,272.540000
369.810000,272.800000
358.990000,274.280000
342.000000,278.120000
326.460000,281.280000
310.920000,285.700000
297.880000,290.210000
290.920000,293.010000
283.570000,296.340000
276.230000,300.720000
272.410000,303.760000
270.970000,305.080000
269.960000,306.060000
269.990000,306.340000
270.210000,306.410000
270.260000,306.920000
270.310000,307.140000
270.150000,307.470000
270.140000,307.950000
273.220000,306.730000
274.240000,306.300000
274.080000,306.590000
273.710000,306.900000
273.160000,307.340000
273.030000,307.670000
272.970000,307.820000
272.930000,307.890000
272.920000,308.010000
272.960000,308.070000
273.000000,308.160000
275.490000,308.810000
292.450000,306.100000
311.310000,297.630000
330.240000,288.300000
347.590000,279.840000
359.410000,275.500000
370.720000,271.470000
377.570000,270.660000
380.110000,271.710000
376.380000,275.180000
369.670000,276.130000
353.840000,278.390000
339.820000,278.430000
326.110000,281.620000
315.350000,283.590000
306.740000,285.310000
298.510000,288.470000
291.580000,292.020000
285.880000,296.030000
281.170000,300.280000
277.550000,303.840000
279.752018,296.680992
278.850000,298.350000
277.940000,299.290000
277.230000,299.960000
276.610000,300.860000
276.140000,301.820000
275.850000,302.420000
275.650000,302.860000
275.290000,303.190000
275.100000,303.560000
275.030000,303.890000
274.950000,304.060000
274.850000,304.380000
274.780000,304.680000
274.790000,304.940000
274.810000,305.000000
274.840000,305.180000
274.910000,305.350000
275.020000,298.690000
293.900000,294.960000
325.263720,291.326674
341.180000,283.150000
355.530000,276.670000
366.710000,272.880000
374.100000,270.510000
379.910000,269.690000
380.950000,270.140000
376.530000,271.800000
366.210000,273.510000
349.090000,277.330000
333.730000,280.880000
318.450000,284.230000
308.300000,286.090000
299.050000,289.050000
291.720000,292.450000
287.020000,295.630000
284.050000,297.550000
281.720000,299.230000
279.140000,300.840000
277.020000,302.320000
274.970000,303.820000
273.060000,304.940000
271.380000,306.210000
270.600000,307.080000
