pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
840.933213,528.370036,1333.063177,569.958484
841.090000,527.980000,1332.990000,570.040000
841.250000,527.970000,1333.160000,570.010000
841.170000,527.940000,1333.070000,569.920000
841.170000,528.000000,1332.990000,570.060000
841.230000,528.000000,1332.980000,570.150000
841.220000,528.010000,1332.960000,570.000000
841.190000,527.950000,1332.960000,570.080000
841.000000,527.900000,1332.950000,570.020000
840.970000,527.880000,1333.130000,570.070000
841.000000,527.950000,1333.250000,570.030000
841.180000,527.920000,1332.960000,570.180000
841.170000,527.970000,1333.060000,570.150000
841.060000,528.030000,1333.250000,570.030000
841.010000,528.030000,1333.130000,570.060000
840.950000,528.010000,1333.030000,570.250000
840.960000,527.950000,1333.120000,570.080000
841.110000,527.860000,1333.130000,570.040000
841.170000,527.940000,1333.340000,570.100000
841.070000,527.920000,1333.300000,570.150000
841.040000,527.990000,1333.190000,570.410000
840.990000,527.990000,1332.980000,570.650000
841.210000,527.910000,1332.940000,570.960000
841.180000,528.020000,1332.960000,570.530000
841.050000,527.870000,1332.810000,570.270000
841.000000,527.730000,1332.860000,570.020000
841.030000,527.810000,1333.320000,569.930000
840.950000,527.920000,1333.250000,570.110000
841.060000,527.890000,1332.910000,570.080000
840.950000,527.910000,1332.940000,570.020000
840.930000,527.940000,1332.940000,570.040000
840.880000,527.940000,1332.910000,570.380000
840.940000,527.910000,1332.990000,570.370000
840.950000,527.880000,1333.130000,570.230000
840.950000,528.010000,1333.140000,570.310000
841.160000,527.950000,1332.960000,570.070000
841.270000,527.950000,1332.920000,570.130000
841.020000,528.110000,1332.970000,570.220000
840.880000,528.050000,1332.760000,570.410000
840.900000,527.830000,1332.790000,570.370000
840.880000,528.020000,1333.030000,569.990000
840.880000,527.930000,1333.220000,570.150000
840.840000,527.900000,1333.030000,570.050000
840.830000,527.960000,1333.070000,570.240000
840.870000,527.950000,1333.260000,570.040000
840.900000,527.860000,1333.070000,570.150000
840.690000,527.960000,1332.810000,570.060000
840.830000,527.810000,1332.830000,570.030000
840.740000,527.920000,1333.060000,569.930000
840.790000,527.820000,1333.020000,570.210000
840.900000,527.990000,1332.930000,570.130000
841.000000,528.010000,1332.850000,570.090000
840.960000,528.020000,1332.910000,570.220000
840.970000,528.030000,1333.090000,570.090000
840.860000,528.060000,1332.840000,570.350000
841.020000,527.990000,1332.930000,570.550000
840.990000,528.020000,1332.680000,570.400000
841.030000,527.820000,1332.420000,570.150000
840.980000,527.940000,1332.420000,570.200000
840.980000,528.060000,1331.980000,569.940000
840.950000,528.020000,1332.420000,570.200000
840.810000,528.000000,1332.510000,569.850000
840.770000,527.850000,1332.570000,570.070000
840.830000,528.060000,1332.560000,569.910000
840.900000,527.910000,1332.570000,570.060000
841.050000,528.100000,1332.770000,570.100000
840.910000,528.200000,1332.700000,570.200000
841.000000,528.210000,1332.830000,570.210000
841.150000,528.180000,1332.760000,570.220000
840.930000,528.100000,1333.100000,570.120000
840.870000,528.030000,1332.920000,570.230000
840.990000,528.190000,1332.840000,570.090000
840.930000,528.120000,1332.950000,569.980000
840.900000,528.110000,1332.880000,570.160000
840.730000,528.030000,1332.810000,570.300000
841.010000,528.050000,1332.710000,570.510000
841.010000,528.050000,1332.320000,570.740000
840.990000,528.260000,1332.310000,570.570000
840.990000,527.940000,1332.340000,570.560000
840.980000,527.920000,1332.450000,570.420000
840.980000,527.970000,1332.920000,570.210000
841.010000,528.030000,1332.850000,570.310000
841.190000,528.120000,1332.750000,570.520000
840.920000,528.160000,1332.890000,570.740000
840.730000,528.010000,1332.740000,570.570000
840.780000,528.030000,1332.670000,570.230000
840.800000,528.020000,1332.820000,570.240000
840.720000,528.040000,1332.640000,570.250000
840.680000,528.100000,1332.670000,570.160000
840.850000,528.110000,1332.690000,570.210000
840.810000,528.150000,1332.610000,570.140000
840.850000,528.310000,1332.770000,570.130000
841.010000,528.180000,1332.690000,570.220000
840.870000,528.030000,1332.920000,570.090000
841.000000,527.840000,1332.920000,570.040000
841.090000,527.840000,1332.930000,569.980000
840.960000,527.950000,1332.930000,569.990000
840.950000,528.070000,1332.650000,570.110000
841.140000,528.080000,1332.510000,570.180000
840.940000,527.910000,1332.690000,570.090000
840.990000,527.930000,1332.680000,570.020000
841.100000,527.980000,1332.710000,569.990000
841.240000,527.770000,1332.600000,570.070000
841.170000,527.830000,1332.660000,570.150000
841.080000,527.990000,1332.750000,570.160000
840.910000,527.990000,1332.670000,570.130000
840.740000,528.090000,1332.650000,570.350000
840.660000,528.110000,1332.880000,570.280000
840.890000,527.850000,1332.630000,570.410000
840.930000,527.750000,1332.610000,570.390000
840.990000,527.810000,1332.750000,570.170000
841.200000,527.930000,1332.820000,569.980000
841.150000,527.830000,1332.820000,569.880000
841.030000,527.940000,1332.800000,569.920000
840.960000,527.640000,1332.750000,569.990000
840.920000,527.010000,1332.620000,569.930000
840.890000,527.390000,1332.680000,569.830000
840.930000,527.820000,1332.640000,569.950000
840.850000,527.770000,1332.790000,569.950000
840.940000,527.860000,1332.950000,569.570000
840.840000,527.800000,1332.650000,569.650000
840.930000,527.840000,1332.460000,569.810000
840.740000,527.680000,1332.430000,569.740000
840.700000,527.920000,1332.360000,569.820000
840.800000,527.920000,1332.180000,570.010000
840.840000,527.970000,1332.610000,569.950000
841.010000,527.950000,1332.760000,569.940000
841.000000,527.980000,1332.970000,569.840000
840.960000,527.880000,1332.630000,569.830000
840.890000,527.880000,1332.770000,569.980000
840.900000,527.810000,1332.460000,569.890000
840.990000,527.660000,1332.350000,570.060000
841.050000,527.690000,1332.270000,570.040000
