pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
373.750000,30.080000,357.710000,98.010000,355.650000,173.970000,341.710000,261.920000,318.700000,353.840000,289.760000,454.840000,271.870000,493.820000,224.930000,585.870000
373.740000,30.060000,357.710000,98.010000,355.640000,173.970000,341.700000,261.920000,318.680000,353.840000,289.710000,454.770000,271.870000,493.740000,224.940000,585.860000
373.740000,30.080000,357.710000,98.010000,355.610000,173.960000,341.680000,261.910000,318.660000,353.830000,289.710000,454.770000,271.860000,493.730000,224.940000,585.860000
373.740000,30.080000,357.710000,98.010000,355.610000,173.960000,341.680000,261.910000,318.660000,353.830000,289.710000,454.770000,271.860000,493.730000,224.940000,585.860000
373.740000,30.080000,357.710000,98.030000,355.600000,173.960000,341.660000,261.910000,318.650000,353.800000,289.710000,454.760000,271.860000,493.710000,224.940000,585.850000
373.740000,30.080000,357.710000,98.030000,355.600000,173.960000,341.650000,261.900000,318.650000,353.800000,289.690000,454.760000,271.860000,493.710000,224.940000,585.840000
373.720000,30.050000,357.600000,97.980000,355.440000,173.920000,341.510000,261.840000,318.560000,353.740000,289.630000,454.720000,271.840000,493.690000,224.940000,585.820000
373.720000,30.050000,357.600000,97.990000,355.410000,173.910000,341.480000,261.840000,318.490000,353.750000,289.640000,454.710000,271.840000,493.690000,224.930000,585.800000
373.730000,30.070000,357.600000,97.990000,355.410000,173.910000,341.480000,261.840000,318.470000,353.740000,289.630000,454.700000,271.840000,493.680000,224.940000,585.790000
373.720000,30.060000,357.600000,97.970000,355.420000,173.920000,341.480000,261.840000,318.470000,353.740000,289.630000,454.710000,271.850000,493.680000,224.940000,585.790000
373.720000,30.060000,357.590000,97.990000,355.420000,173.920000,341.470000,261.840000,318.470000,353.750000,289.630000,454.710000,271.840000,493.650000,224.940000,585.800000
373.680000,30.050000,357.530000,97.980000,355.400000,173.900000,341.480000,261.840000,318.470000,353.750000,289.640000,454.710000,271.850000,493.670000,224.950000,585.800000
373.680000,30.050000,357.520000,97.980000,355.390000,173.900000,341.470000,261.830000,318.420000,353.740000,289.650000,454.700000,271.860000,493.660000,224.940000,585.800000
373.670000,30.070000,357.530000,97.990000,355.370000,173.910000,341.450000,261.830000,318.380000,353.740000,289.630000,454.680000,271.870000,493.640000,224.950000,585.800000
373.680000,30.070000,357.400000,97.960000,355.350000,173.900000,341.420000,261.820000,318.380000,353.730000,289.630000,454.700000,271.860000,493.660000,224.950000,585.790000
373.680000,30.080000,357.410000,97.960000,355.300000,173.880000,341.360000,261.790000,318.330000,353.720000,289.630000,454.680000,271.860000,493.660000,224.940000,585.790000
373.640000,30.080000,357.410000,97.960000,355.300000,173.890000,341.350000,261.790000,318.320000,353.720000,289.620000,454.680000,271.860000,493.630000,224.940000,585.780000
373.640000,30.080000,357.430000,97.970000,355.300000,173.880000,341.320000,261.780000,318.290000,353.710000,289.600000,454.670000,271.860000,493.630000,224.940000,585.780000
373.630000,30.020000,357.370000,97.970000,355.220000,173.850000,341.260000,261.770000,318.230000,353.660000,289.550000,454.600000,271.860000,493.560000,224.940000,585.760000
373.630000,30.020000,357.380000,97.950000,355.230000,173.860000,341.260000,261.770000,318.230000,353.670000,289.540000,454.600000,271.830000,493.570000,224.940000,585.750000
373.630000,30.020000,357.290000,97.900000,355.220000,173.850000,341.250000,261.770000,318.220000,353.670000,289.500000,454.610000,271.850000,493.570000,224.940000,585.750000
