pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
372.010000,199.970000,356.060000,285.960000,325.220000,366.990000,290.390000,436.020000,226.000000,539.050000,187.010000,590.080000,157.000000,664.140000
372.020000,199.970000,356.070000,285.960000,325.270000,366.980000,290.460000,436.020000,226.020000,539.060000,187.040000,590.100000,157.010000,664.160000
372.030000,199.970000,356.070000,285.960000,325.290000,366.980000,290.710000,436.000000,226.040000,539.070000,187.060000,590.120000,157.020000,664.180000
372.030000,199.960000,356.080000,285.960000,325.320000,366.980000,290.780000,436.000000,226.090000,539.110000,187.100000,590.160000,157.040000,664.150000
372.040000,199.960000,356.100000,285.950000,325.380000,366.970000,290.850000,436.010000,226.140000,539.130000,187.170000,590.170000,157.070000,664.190000
372.050000,199.960000,356.120000,285.960000,325.440000,366.970000,290.900000,436.010000,226.230000,539.150000,187.250000,590.210000,157.080000,664.200000
372.060000,199.960000,356.130000,285.950000,325.530000,366.970000,290.970000,436.020000,226.280000,539.150000,187.370000,590.200000,157.140000,664.200000
372.070000,199.960000,356.150000,285.940000,325.730000,366.960000,291.020000,436.030000,226.470000,539.200000,187.570000,590.130000,157.200000,664.220000
372.080000,199.950000,356.180000,285.940000,325.770000,366.970000,291.070000,436.040000,226.840000,539.060000,187.810000,590.070000,157.300000,664.260000
372.090000,199.950000,356.190000,285.930000,325.820000,366.980000,291.110000,436.040000,226.910000,539.060000,187.870000,590.090000,157.330000,664.270000
372.100000,199.940000,356.220000,285.930000,325.850000,366.970000,291.170000,436.040000,227.010000,539.100000,187.930000,590.140000,157.470000,664.270000
372.110000,199.940000,356.270000,285.930000,325.930000,366.960000,291.270000,436.040000,227.090000,539.160000,188.020000,590.200000,157.890000,664.230000
372.100000,199.930000,356.290000,285.930000,325.970000,366.970000,291.320000,436.050000,227.140000,539.220000,188.100000,590.250000,157.920000,664.290000
372.120000,199.920000,356.310000,285.920000,326.000000,366.970000,291.450000,436.050000,227.250000,539.280000,188.170000,590.300000,157.950000,664.290000
372.130000,199.920000,356.320000,285.910000,326.030000,366.970000,291.750000,436.030000,227.400000,539.260000,188.300000,590.370000,158.000000,664.280000
372.140000,199.910000,356.360000,285.900000,326.090000,366.970000,291.840000,436.030000,227.850000,539.080000,188.450000,590.310000,158.050000,664.350000
372.140000,199.910000,356.400000,285.900000,326.140000,366.960000,291.900000,436.040000,227.940000,539.150000,188.780000,590.200000,158.100000,664.370000
372.150000,199.900000,356.450000,285.900000,326.160000,366.960000,291.970000,436.030000,227.970000,539.150000,188.840000,590.230000,158.170000,664.430000
372.160000,199.890000,356.460000,285.890000,326.220000,366.960000,292.000000,436.040000,228.000000,539.190000,188.900000,590.260000,158.230000,664.500000
372.160000,199.880000,356.470000,285.890000,326.250000,366.950000,292.040000,436.050000,228.050000,539.200000,188.940000,590.280000,158.280000,664.760000
372.160000,199.890000,356.540000,285.880000,326.270000,366.940000,292.060000,436.050000,228.090000,539.260000,188.990000,590.310000,158.360000,664.780000
372.170000,199.880000,356.670000,285.880000,326.310000,366.950000,292.090000,436.050000,228.140000,539.310000,189.040000,590.360000,158.430000,664.770000
372.170000,199.870000,356.690000,285.880000,326.350000,366.960000,292.120000,436.060000,228.210000,539.300000,189.070000,590.400000,158.850000,664.740000
372.180000,199.880000,356.730000,285.870000,326.420000,366.940000,292.160000,436.060000,228.280000,539.300000,189.110000,590.500000,158.880000,664.760000
372.180000,199.860000,356.740000,285.880000,326.440000,366.940000,292.180000,436.060000,228.280000,539.320000,189.020000,590.880000,158.890000,664.760000
372.190000,199.860000,356.740000,285.870000,326.450000,366.940000,292.180000,436.060000,228.300000,539.320000,189.030000,590.860000,158.910000,664.750000
372.190000,199.870000,356.760000,285.870000,326.470000,366.960000,292.200000,436.060000,228.270000,539.340000,189.040000,590.880000,158.930000,664.770000
372.190000,199.860000,356.750000,285.870000,326.440000,366.950000,292.200000,436.060000,228.310000,539.280000,189.040000,590.880000,158.940000,664.770000
372.190000,199.860000,356.750000,285.870000,326.460000,366.960000,292.190000,436.060000,228.270000,539.320000,189.060000,590.880000,158.940000,664.740000
372.200000,199.860000,356.750000,285.880000,326.420000,366.950000,292.180000,436.060000,228.240000,539.330000,189.060000,590.880000,158.950000,664.790000
372.190000,199.860000,356.730000,285.870000,326.390000,366.950000,292.170000,436.060000,228.270000,539.320000,189.050000,590.890000,158.960000,664.770000
372.190000,199.870000,356.720000,285.860000,326.380000,366.950000,292.170000,436.050000,228.280000,539.290000,189.050000,590.880000,158.970000,664.790000
372.180000,199.870000,356.710000,285.860000,326.400000,366.960000,292.170000,436.050000,228.310000,539.260000,189.060000,590.880000,158.970000,664.770000
372.180000,199.860000,356.700000,285.880000,326.410000,366.950000,292.160000,436.050000,228.290000,539.290000,189.050000,590.890000,158.980000,664.770000
372.170000,199.860000,356.680000,285.880000,326.390000,366.940000,292.150000,436.050000,228.290000,539.280000,189.060000,590.880000,158.980000,664.770000
372.160000,199.870000,356.670000,285.860000,326.340000,366.940000,292.140000,436.050000,228.280000,539.300000,189.070000,590.880000,158.980000,664.790000
372.160000,199.870000,356.680000,285.860000,326.360000,366.920000,292.150000,436.060000,228.290000,539.300000,189.080000,590.890000,158.990000,664.790000
372.170000,199.870000,356.680000,285.860000,326.360000,366.930000,292.160000,436.060000,228.330000,539.280000,189.090000,590.900000,158.990000,664.780000
372.170000,199.860000,356.700000,285.850000,326.390000,366.950000,292.180000,436.060000,228.340000,539.310000,189.100000,590.900000,159.000000,664.810000
372.170000,199.850000,356.730000,285.850000,326.450000,366.940000,292.210000,436.070000,228.370000,539.330000,189.120000,590.920000,159.000000,664.830000
372.180000,199.850000,356.760000,285.840000,326.650000,366.930000,292.260000,436.070000,228.430000,539.320000,189.170000,590.930000,159.010000,664.860000
