pt1_cam1_X,pt1_cam1_Y
383.7,220.11
383.79,220.94
383.79,221.82
383.81,222.74
383.89,223.66
383.91,224.27
383.92,225.29
383.95,226.15
383.99,227.01
383.98,227.74
383.96,228.72
383.99,229.29
383.95,230.06
383.99,230.91
384.11,231.55
384.08,232.25
384.19,233.05
384.26,233.54
384.29,233.98
384.35,234.65
384.41,235.34
384.41,235.83
384.53,236.44
384.69,237.27
384.73,237.92
384.68,238.18
384.69,238.94
384.73,239.47
384.81,239.97
384.81,240.3
384.84,240.77
384.92,241.44
384.96,241.89
384.97,242.18
384.99,242.78
385,243.09
385.05,243.38
385.02,243.89
385.05,244.25
385.09,244.89
385.15,245.12
385.18,245.35
385.18,245.84
385.22,246.37
385.27,246.87
385.31,247.08
385.37,247.3
385.41,247.65
385.39,248
385.53,248.42
385.7,248.71
385.82,248.93
385.86,249.15
385.91,249.51
385.86,249.89
385.94,250.12
385.97,250.34
386.04,250.6
386.11,250.91
386.13,251.13
386.14,251.4
386.15,251.78
386.21,251.89
386.27,252.03
386.37,252.15
386.41,252.23
386.48,252.4
386.59,252.72
386.64,253.04
386.66,253.26
386.7,253.6
386.71,253.67
386.79,253.89
386.89,253.98
386.95,254.09
386.94,254.19
386.96,254.28
387.03,254.46
387.04,254.77
387.04,254.98
387.09,255.21
387.12,255.29
387.14,255.45
387.14,255.74
387.17,255.93
387.2,256
387.21,256.06
387.23,256.19
387.3,256.4
387.3,256.67
387.31,256.75
387.32,256.9
387.38,256.98
387.46,257.1
387.6,257.22
387.59,257.31
387.63,257.39
387.63,257.44
387.69,257.49
387.8,257.69
387.82,257.76
387.82,257.78
387.86,257.88
387.91,257.94
387.92,258.02
387.94,258.14
387.98,258.23
388.02,258.33
388.05,258.49
388.09,258.71
388.13,258.82
388.14,258.83
388.16,258.9
388.2,258.97
388.27,259.01
388.29,259.04
388.3,259.02
388.31,259.09
388.41,259.12
388.51,259.17
388.57,259.18
388.63,259.18
388.72,259.26
388.75,259.27
388.81,259.27
388.86,259.3
388.91,259.32
388.96,259.34
388.99,259.36
389.03,259.37
389.08,259.4
389.18,259.43
389.21,259.41
389.26,259.42
389.29,259.41
389.34,259.44
389.4,259.43
389.5,259.44
389.66,259.45
389.69,259.43
389.8,259.45
389.82,259.47
389.84,259.47
389.86,259.42
389.89,259.37
389.88,259.3
389.86,259.18
389.8,259.07
389.79,259
389.76,258.91
389.76,258.93
389.76,258.92
389.79,258.87
389.79,258.85
389.8,258.86
389.83,258.84
389.88,258.86
389.87,258.87
389.91,258.85
389.96,258.87
390,258.9
390.03,258.93
390.07,258.93
390.07,258.92
390.11,258.88
390.1,258.89
390.1,258.91
390.11,258.93
390.12,258.98
390.14,259.02
390.15,259.03
390.2,259.11
390.2,259.11
390.21,259.14
390.25,259.23
390.29,259.25
390.28,259.27
390.26,259.25
390.3,259.26
390.33,259.31
390.37,259.36
390.37,259.38
390.4,259.43
390.48,259.48
390.63,259.61
390.67,259.63
390.73,259.64
390.77,259.63
390.78,259.62
390.8,259.69
390.81,259.77
390.84,259.8
390.86,259.86
390.88,259.95
390.92,260.01
390.98,260.05
391.01,260.09
391.05,260.06
391.11,260.09
391.21,260.22
391.26,260.3
391.31,260.37
391.33,260.4
391.39,260.47
391.44,260.62
391.47,260.64
391.64,260.64
391.66,260.62
391.69,260.67
391.73,260.68
391.76,260.73
391.78,260.77
391.81,260.77
391.82,260.8
391.88,260.85
391.89,260.87
391.97,260.87
391.97,260.88
392.06,260.87
392.1,260.85
392.15,260.92
392.17,260.92
392.24,260.95
392.29,260.94
392.4,260.95
392.45,260.95
392.58,260.94
392.6,260.96
392.64,260.99
392.68,261.02
392.69,260.99
392.73,260.98
392.75,260.98
392.77,260.97
392.81,260.98
392.84,261
392.84,260.98
392.9,260.97
392.93,260.95
393,261
393.04,261.01
393.07,260.97
393.07,260.96
393.09,260.95
393.06,260.93
393.01,260.83
392.96,260.68
392.97,260.65
392.99,260.45
392.93,260.08
392.91,259.77
392.9,259.5
392.87,259.39
392.81,259.31
392.78,259.21
392.69,259.14
392.7,259.1
392.66,259.04
392.65,259
392.62,258.95
392.58,258.9
392.6,258.84
392.59,258.76
392.56,258.48
392.6,258.21
392.62,258.03
392.57,257.73
392.49,257.5
392.31,257.36
392.27,257.23
392.21,257.09
392.09,256.89
392.04,256.8
392.05,256.73
392.05,256.56
392.06,256.39
392.06,256.25
392.07,256.17
392.09,256.13
392.08,256.09
392.09,256.06
392.08,256.01
392.06,255.96
392.05,255.92
392.08,255.88
392.1,255.88
392.11,255.85
392.13,255.77
392.11,255.79
392.14,255.79
392.14,255.78
392.13,255.79
392.11,255.76
392.07,255.72
392.08,255.68
392.12,255.66
392.14,255.64
392.14,255.7
392.16,255.7
392.21,255.76
392.2,255.78
392.22,255.82
392.23,255.84
392.27,255.86
392.27,255.92
392.29,255.98
392.27,255.98
392.33,255.98
392.37,256.06
392.39,256.2
392.43,256.17
392.37,256.23
392.37,256.3
392.42,256.3
392.47,256.3
392.59,256.38
392.65,256.49
392.78,256.67
392.81,256.72
392.88,256.75
392.94,256.8
392.98,256.81
393.05,256.79
393.14,256.87
393.38,256.98
393.71,256.95
393.9,256.91
394.18,256.72
394.29,256.58
394.54,256.36
394.74,256.3
394.83,256.23
394.94,256.23
395.04,256.17
395.1,256.08
395.15,256.09
395.43,256.06
395.69,256.03
395.86,256.07
395.93,256.04
396.09,256.01
396.4,255.95
396.6,255.96
396.71,255.89
396.71,255.85
396.48,255.72
396.26,255.54
396.2,254.77
396.21,253.73
396.16,251.85
396.27,249.55
396.29,246.25
396.28,242.45
396.54,237.95
396.63,233.28
396.36,228.61
396.43,223.93
396.89,219
397.13,214.77
397.35,211.02
397.99,207.25
398.17,204.23
398.19,201.81
398.39,199.59
398.71,197.4
399.03,195.22
398.81,194.15
398.76,193.08
398.7,191.99
398.19,191.5
398.02,190.68
397.92,190.14
397.7,189.89
397.5,189.64
397.1,189.35
397.06,189.08
396.92,188.81
396.88,188.41
396.67,188.33
396.36,188.26
396.16,188.24
395.92,188.32
395.86,188.26
395.78,188.23
395.63,188.25
395.37,188.3
395.26,188.27
395.14,188.35
395.06,188.35
394.97,188.36
394.82,188.33
394.75,188.36
394.71,188.41
394.51,188.57
394.36,188.7
394.26,188.71
394.11,188.93
394.15,188.98
394.07,189.09
393.95,189.41
393.93,189.49
393.85,189.7
393.85,189.77
393.77,189.91
393.76,190.01
393.74,190.21
393.45,190.79
393.1,191.42
393.07,191.74
393.05,191.96
393.01,192.17
392.96,192.95
392.73,193.71
392.71,194.46
392.85,195.29
392.61,196.57
392.76,197.2
392.68,198.64
392.73,199.37
392.68,200.39
392.79,201.31
392.73,202.06
392.9,202.89
392.94,203.93
393.02,204.68
393.08,205.69
393.1,206.48
393.16,207.38
393.23,208.16
393.34,209.03
393.32,209.72
393.34,210.54
393.41,211.12
393.5,211.89
393.6,212.79
393.64,213.37
393.7,214.05
393.83,214.83
393.86,215.22
393.89,215.92
393.94,216.82
393.97,217.47
394.03,217.97
394.07,218.38
394.11,219.23
394.17,219.66
394.21,219.99
394.24,220.58
394.3,221.28
394.37,221.75
394.42,221.97
394.5,222.29
394.7,222.82
394.76,223.39
394.83,223.84
394.88,224.13
394.89,224.61
394.93,225.2
394.96,225.7
394.99,226.09
395.04,226.66
395.03,227.02
395.06,227.3
395.11,227.66
395.16,227.99
395.15,228.49
395.22,228.89
395.34,229.12
395.33,229.4
395.34,229.9
395.3,230.26
395.36,230.73
395.43,230.99
395.56,231.12
395.76,231.36
395.76,231.73
395.79,232.09
395.9,232.55
395.98,232.77
396.01,232.9
396.09,233.02
396.13,233.21
396.11,233.57
396.13,233.92
396.16,234.08
396.19,234.3
396.25,234.57
396.31,234.75
396.3,235.11
396.32,235.23
396.34,235.48
396.36,235.66
396.43,235.94
396.48,236.08
396.56,236.16
396.65,236.24
396.7,236.37
396.71,236.47
396.76,236.73
396.72,237.05
396.71,237.16
396.72,237.42
396.71,237.64
396.71,237.76
396.73,237.91
396.75,237.96
396.75,238.01
396.79,238.21
396.79,238.33
396.8,238.39
396.81,238.43
396.86,238.64
396.88,238.93
396.89,239.05
396.92,239.08
396.93,239.14
396.98,239.25
397,239.41
397.02,239.58
397.02,239.63
397.01,239.71
397.04,239.77
397.07,239.93
397.07,239.98
397.08,240.1
397.06,240.15
397.09,240.25
397.11,240.4
397.12,240.57
397.1,240.65
397.1,240.74
397.12,240.82
397.13,240.94
397.17,240.98
397.2,241.1
397.19,241.15
397.21,241.26
397.24,241.36
397.23,241.42
397.22,241.43
397.26,241.46
397.3,241.52
397.35,241.57
397.37,241.61
397.39,241.69
397.42,241.75
397.42,241.78
397.42,241.8
397.46,241.8
397.57,241.86
397.72,241.9
397.73,241.92
397.77,241.9
397.8,241.97
397.83,242.06
397.85,242.1
397.84,242.12
397.87,242.16
397.93,242.19
397.94,242.21
397.94,242.23
397.94,242.35
397.95,242.36
397.99,242.39
398,242.41
398.01,242.41
398.08,242.39
398.11,242.36
398.14,242.3
398.16,242.27
398.23,242.29
398.23,242.32
398.26,242.33
398.28,242.4
398.33,242.55
398.33,242.59
398.29,242.6
398.31,242.61
398.33,242.64
398.36,242.63
398.35,242.57
398.37,242.45
398.4,242.33
398.42,242.33
398.46,242.37
398.57,242.47
398.67,242.56
398.68,242.57
398.68,242.6
398.69,242.67
398.71,242.73
398.7,242.77
398.7,242.8
398.73,242.84
398.75,242.85
398.78,242.9
398.81,242.88
398.8,242.9
398.8,242.9
398.89,242.9
398.89,242.91
398.95,242.98
398.96,242.97
398.98,242.99
399.01,243.05
399.04,243.06
399.04,243.08
399.02,243.1
399.02,243.1
399.03,243.11
399.06,243.13
399.07,243.11
399.1,243.09
399.13,243.14
399.14,243.13
399.15,243.11
399.17,243.08
399.19,243.08
399.18,243.08
399.25,243.11
399.24,243.12
399.24,243.11
399.25,243.16
399.28,243.12
399.35,243.13
399.35,243.13
399.39,243.15
399.44,243.16
399.42,243.18
399.43,243.18
399.48,243.24
399.58,243.27
399.65,243.27
399.67,243.27
399.7,243.3
399.8,243.37
399.83,243.4
399.81,243.41
399.85,243.45
399.88,243.51
399.88,243.59
399.88,243.61
399.91,243.62
399.92,243.63
399.95,243.61
399.97,243.63
400,243.72
400.02,243.86
400.05,243.86
400.05,243.98
400.04,243.91
400.06,244.02
400.12,244.08
400.15,244.16
400.16,244.17
400.16,244.15
400.18,244.17
400.2,244.24
400.26,244.33
400.26,244.3
400.23,244.33
400.32,244.42
400.36,244.49
400.37,244.54
400.4,244.55
400.42,244.65
400.46,244.67
400.49,244.68
400.65,244.67
400.65,244.69
400.68,244.71
400.71,244.68
400.78,244.7
400.81,244.71
400.89,244.82
401.19,244.8
401.5,244.23
401.64,243.86
401.63,243.59
401.68,243.39
401.71,243.36
401.76,243.25
401.77,243.18
401.7,243.07
401.63,242.85
401.57,242.64
401.59,242.48
401.53,242.07
401.4,241.76
401.31,241.32
401.26,241.12
401.21,240.94
401.18,240.76
401.13,240.42
401.09,240.03
401.02,239.8
400.95,239.48
400.87,239.15
400.81,238.74
400.75,238.12
400.64,237.9
400.55,237.67
400.41,237.33
400.25,236.83
400.26,236.36
400.21,236.13
400.19,235.85
400.17,235.46
400.13,234.98
400.12,234.67
400.11,234.2
400.06,233.91
400.02,233.51
400.01,233.14
400.03,232.91
399.98,232.53
399.95,232.05
399.99,231.48
399.92,231.14
399.88,230.95
399.81,230.81
