pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
177.230000,586.410000,217.160000,490.700000,248.700000,409.370000,259.650000,337.230000,263.930000,262.930000,292.740000,169.570000
177.170000,586.450000,217.150000,490.720000,248.690000,409.390000,259.650000,337.230000,263.930000,262.920000,293.000000,169.510000
177.130000,586.470000,217.140000,490.730000,248.680000,409.400000,259.650000,337.230000,263.930000,262.920000,292.700000,169.380000
177.120000,586.520000,217.130000,490.750000,248.680000,409.420000,259.640000,337.230000,263.920000,262.900000,292.680000,169.330000
177.060000,586.800000,217.100000,490.800000,248.610000,409.460000,259.580000,337.270000,263.880000,262.870000,292.640000,169.220000
177.030000,586.810000,217.100000,490.800000,248.610000,409.460000,259.560000,337.280000,263.880000,262.870000,292.680000,169.200000
177.040000,586.800000,217.100000,490.800000,248.610000,409.460000,259.550000,337.270000,263.880000,262.870000,292.680000,169.200000
177.040000,586.800000,217.100000,490.790000,248.610000,409.460000,259.520000,337.260000,263.870000,262.860000,292.650000,169.190000
177.050000,586.790000,217.100000,490.790000,248.610000,409.460000,259.470000,337.250000,263.870000,262.860000,292.640000,169.190000
177.130000,586.680000,217.140000,490.720000,248.590000,409.460000,259.420000,337.270000,263.820000,262.890000,292.680000,169.270000
177.430000,586.550000,217.210000,490.590000,248.580000,409.460000,259.350000,337.270000,263.810000,262.930000,292.670000,169.330000
177.590000,586.230000,217.260000,490.360000,248.590000,409.450000,259.310000,337.270000,263.790000,262.930000,292.670000,169.330000
177.730000,586.170000,217.440000,490.160000,248.570000,409.410000,259.300000,337.270000,263.710000,262.920000,292.670000,169.330000
177.880000,586.110000,217.630000,490.100000,248.400000,409.310000,259.100000,337.220000,263.630000,262.890000,292.600000,169.300000
178.030000,585.980000,217.690000,489.970000,248.240000,409.210000,259.060000,337.110000,263.580000,262.860000,292.540000,169.280000
178.250000,585.870000,217.840000,489.790000,248.230000,409.110000,259.040000,337.080000,263.480000,262.810000,292.080000,169.140000
178.550000,585.760000,218.020000,489.670000,248.250000,409.030000,259.000000,336.980000,263.170000,262.670000,292.150000,169.100000
178.940000,585.740000,218.200000,489.590000,248.270000,409.040000,258.970000,336.960000,263.160000,262.680000,292.200000,169.100000
179.040000,585.690000,218.370000,489.460000,248.280000,409.010000,258.980000,336.960000,263.170000,262.670000,292.200000,169.100000
179.350000,585.670000,218.620000,489.300000,248.270000,408.980000,258.970000,336.870000,263.140000,262.660000,292.200000,169.100000
179.670000,585.610000,218.720000,489.120000,248.270000,408.950000,258.950000,336.850000,263.080000,262.630000,292.200000,169.100000
179.920000,585.570000,218.930000,489.110000,248.260000,408.910000,258.950000,336.830000,263.030000,262.610000,292.160000,169.100000
180.150000,585.480000,219.100000,489.060000,248.270000,408.890000,258.930000,336.810000,263.030000,262.610000,292.110000,169.100000
180.310000,585.230000,219.150000,489.010000,248.270000,408.870000,258.850000,336.800000,262.990000,262.590000,292.110000,169.100000
180.610000,585.190000,219.250000,488.950000,248.290000,408.850000,258.750000,336.770000,262.970000,262.570000,292.080000,169.090000
180.840000,585.180000,219.370000,488.920000,248.290000,408.840000,258.740000,336.750000,262.970000,262.560000,292.080000,169.090000
181.010000,585.140000,219.570000,488.850000,248.300000,408.810000,258.730000,336.750000,262.950000,262.560000,292.060000,169.060000
181.080000,585.120000,219.670000,488.820000,248.310000,408.800000,258.720000,336.700000,262.930000,262.520000,292.030000,169.050000
181.260000,585.060000,219.820000,488.720000,248.310000,408.670000,258.670000,336.560000,262.790000,262.210000,291.900000,168.940000
181.300000,585.050000,219.860000,488.720000,248.330000,408.670000,258.620000,336.430000,262.790000,262.210000,291.920000,168.950000
181.630000,585.030000,219.900000,488.690000,248.310000,408.660000,258.620000,336.430000,262.790000,262.210000,291.930000,168.940000
181.780000,585.040000,219.950000,488.670000,248.310000,408.650000,258.620000,336.430000,262.780000,262.190000,291.940000,168.920000
181.820000,585.040000,219.960000,488.630000,248.320000,408.640000,258.610000,336.300000,262.780000,262.190000,291.930000,168.900000
181.860000,585.040000,220.050000,488.600000,248.330000,408.620000,258.610000,336.320000,262.760000,262.170000,291.930000,168.910000
181.910000,585.030000,220.110000,488.590000,248.330000,408.590000,258.600000,336.310000,262.690000,262.130000,291.920000,168.890000
181.970000,585.030000,220.150000,488.550000,248.340000,408.570000,258.610000,336.270000,262.680000,262.120000,291.920000,168.890000
182.000000,585.020000,220.170000,488.500000,248.350000,408.540000,258.580000,336.270000,262.680000,262.110000,291.890000,168.890000
182.030000,585.010000,220.190000,488.440000,248.350000,408.520000,258.570000,336.260000,262.670000,262.100000,291.890000,168.890000
182.040000,584.990000,220.210000,488.420000,248.360000,408.300000,258.580000,336.250000,262.670000,262.090000,291.880000,168.870000
182.060000,584.980000,220.240000,488.380000,248.400000,408.270000,258.590000,336.240000,262.670000,262.070000,291.890000,168.870000
182.020000,584.920000,220.280000,488.290000,248.480000,408.200000,258.590000,336.170000,262.660000,262.020000,291.840000,168.780000
182.010000,584.920000,220.280000,488.290000,248.720000,408.200000,258.560000,336.170000,262.650000,262.020000,291.880000,168.780000
181.920000,584.930000,220.280000,488.300000,248.720000,408.200000,258.600000,336.170000,262.650000,262.020000,291.880000,168.780000
181.760000,584.930000,220.270000,488.300000,248.720000,408.200000,258.590000,336.170000,262.650000,262.020000,291.880000,168.780000
181.720000,584.930000,220.230000,488.310000,248.720000,408.200000,258.600000,336.170000,262.650000,262.020000,291.890000,168.780000
181.520000,584.940000,220.190000,488.350000,248.720000,408.200000,258.620000,336.170000,262.650000,262.020000,291.840000,168.770000
181.280000,584.980000,220.150000,488.390000,248.720000,408.200000,258.620000,336.170000,262.660000,262.020000,291.830000,168.740000
181.170000,585.010000,220.080000,488.460000,248.720000,408.200000,258.620000,336.170000,262.660000,262.020000,291.830000,168.740000
181.090000,585.060000,219.970000,488.560000,248.730000,408.220000,258.740000,336.170000,262.660000,262.020000,291.830000,168.740000
180.930000,585.080000,219.950000,488.590000,248.730000,408.230000,258.650000,336.170000,262.670000,262.020000,291.830000,168.740000
180.870000,585.110000,219.900000,488.700000,248.740000,408.240000,258.670000,336.160000,262.710000,262.020000,291.830000,168.740000
180.750000,585.130000,219.830000,488.760000,248.740000,408.270000,258.680000,336.170000,262.720000,262.020000,291.830000,168.740000
180.520000,585.220000,219.680000,488.890000,248.800000,408.420000,258.810000,336.260000,262.850000,262.090000,291.900000,168.770000
180.420000,585.230000,219.670000,488.900000,248.810000,408.620000,258.780000,336.260000,262.840000,262.100000,291.910000,168.810000
180.210000,585.250000,219.600000,488.910000,248.810000,408.620000,258.830000,336.270000,262.840000,262.100000,291.950000,168.810000
180.110000,585.260000,219.540000,488.930000,248.800000,408.640000,258.820000,336.280000,262.850000,262.100000,291.950000,168.810000
180.090000,585.270000,219.380000,488.950000,248.790000,408.670000,258.820000,336.290000,262.850000,262.110000,291.950000,168.810000
180.010000,585.270000,219.300000,488.990000,248.800000,408.690000,258.830000,336.290000,262.850000,262.110000,291.950000,168.820000
179.910000,585.310000,219.260000,489.020000,248.800000,408.680000,258.840000,336.300000,262.900000,262.130000,291.950000,168.820000
179.870000,585.370000,219.170000,489.070000,248.800000,408.710000,258.900000,336.350000,262.900000,262.140000,291.950000,168.820000
179.830000,585.410000,219.120000,489.110000,248.800000,408.730000,258.960000,336.420000,262.940000,262.150000,291.980000,168.830000
179.740000,585.440000,219.080000,489.150000,248.800000,408.750000,258.970000,336.450000,262.950000,262.160000,291.980000,168.830000
179.620000,585.550000,219.020000,489.210000,248.810000,408.770000,259.000000,336.460000,262.970000,262.170000,291.980000,168.830000
179.390000,585.800000,218.940000,489.250000,248.810000,408.790000,259.100000,336.500000,262.980000,262.180000,291.980000,168.830000
179.240000,585.840000,218.810000,489.390000,248.810000,408.910000,259.150000,336.700000,263.100000,262.220000,292.120000,168.910000
179.230000,585.840000,218.790000,489.420000,248.800000,408.900000,259.160000,336.720000,263.100000,262.220000,292.080000,168.920000
179.100000,585.880000,218.630000,489.430000,248.800000,408.910000,259.160000,336.730000,263.100000,262.220000,292.110000,168.910000
179.080000,585.890000,218.560000,489.490000,248.790000,408.930000,259.180000,336.770000,263.100000,262.230000,292.120000,168.900000
179.030000,585.950000,218.510000,489.560000,248.790000,408.940000,259.180000,336.800000,263.110000,262.240000,292.120000,168.900000
178.960000,585.960000,218.400000,489.660000,248.790000,408.950000,259.200000,336.890000,263.120000,262.250000,292.120000,168.900000
178.920000,585.990000,218.330000,489.780000,248.770000,408.980000,259.200000,336.910000,263.140000,262.260000,292.120000,168.900000
178.920000,586.010000,218.300000,489.910000,248.750000,409.190000,259.310000,337.050000,263.380000,262.470000,292.150000,168.950000
178.890000,586.080000,218.280000,489.970000,248.770000,409.200000,259.400000,337.120000,263.700000,262.790000,292.170000,169.030000
178.860000,586.090000,218.190000,490.000000,248.770000,409.220000,259.400000,337.110000,263.720000,262.800000,292.210000,169.080000
178.760000,586.120000,218.100000,490.010000,248.770000,409.230000,259.410000,337.110000,263.720000,262.790000,292.210000,169.080000
178.560000,586.130000,218.030000,490.040000,248.760000,409.240000,259.420000,337.110000,263.730000,262.800000,292.210000,169.080000
178.420000,586.190000,217.860000,490.120000,248.710000,409.250000,259.470000,337.120000,263.770000,262.820000,292.250000,169.100000
178.400000,586.190000,217.860000,490.120000,248.720000,409.260000,259.540000,337.130000,263.770000,262.820000,292.260000,169.100000
178.340000,586.210000,217.800000,490.140000,248.720000,409.270000,259.540000,337.130000,263.770000,262.810000,292.250000,169.100000
178.230000,586.230000,217.630000,490.150000,248.710000,409.270000,259.540000,337.130000,263.770000,262.810000,292.250000,169.100000
178.160000,586.240000,217.520000,490.170000,248.650000,409.270000,259.530000,337.130000,263.780000,262.810000,292.310000,169.110000
178.070000,586.250000,217.330000,490.210000,248.660000,409.310000,259.540000,337.130000,263.810000,262.810000,292.310000,169.110000
178.030000,586.270000,217.290000,490.240000,248.620000,409.340000,259.530000,337.140000,263.810000,262.810000,292.300000,169.110000
177.970000,586.330000,217.130000,490.270000,248.520000,409.350000,259.550000,337.160000,263.810000,262.810000,292.300000,169.110000
177.860000,586.380000,217.070000,490.310000,248.280000,409.380000,259.540000,337.170000,263.830000,262.810000,292.300000,169.110000
177.810000,586.450000,217.020000,490.360000,248.270000,409.420000,259.570000,337.270000,263.830000,262.820000,292.300000,169.110000
177.740000,586.730000,216.990000,490.460000,248.200000,409.440000,259.580000,337.290000,263.850000,262.820000,292.290000,169.110000
177.700000,586.750000,216.900000,490.570000,248.170000,409.470000,259.590000,337.320000,263.870000,262.820000,292.290000,169.110000
177.580000,586.830000,216.800000,490.700000,248.140000,409.640000,259.670000,337.470000,263.950000,262.880000,292.330000,169.120000
177.560000,586.830000,216.780000,490.710000,248.130000,409.780000,259.680000,337.570000,263.970000,262.880000,292.430000,169.140000
177.550000,586.830000,216.740000,490.730000,248.120000,409.770000,259.680000,337.580000,263.970000,262.880000,292.480000,169.140000
177.410000,586.860000,216.580000,490.760000,248.120000,409.780000,259.680000,337.580000,263.970000,262.880000,292.480000,169.140000
177.280000,586.870000,216.480000,490.800000,248.120000,409.790000,259.690000,337.590000,263.970000,262.880000,292.420000,169.140000
177.240000,586.890000,216.410000,490.860000,248.110000,409.820000,259.680000,337.590000,263.970000,262.880000,292.420000,169.140000
177.220000,586.920000,216.340000,490.880000,248.100000,409.840000,259.680000,337.620000,263.970000,262.880000,292.420000,169.140000
177.210000,586.920000,216.230000,490.930000,248.050000,409.880000,259.690000,337.660000,263.970000,262.880000,292.410000,169.140000
177.170000,586.930000,216.180000,490.950000,248.050000,409.900000,259.700000,337.680000,263.980000,262.880000,292.410000,169.140000
177.130000,586.950000,216.130000,491.000000,248.040000,409.940000,259.700000,337.720000,263.990000,262.890000,292.410000,169.140000
177.110000,587.000000,216.050000,491.050000,248.030000,409.950000,259.730000,337.780000,264.000000,262.900000,292.410000,169.140000
177.050000,587.020000,216.010000,491.080000,248.020000,409.960000,259.730000,337.850000,264.010000,262.910000,292.410000,169.140000
176.910000,587.040000,215.900000,491.200000,248.000000,410.080000,259.740000,337.970000,264.060000,263.030000,292.580000,169.290000
176.910000,587.060000,215.910000,491.210000,248.010000,410.090000,259.750000,337.980000,264.060000,263.030000,292.630000,169.250000
176.910000,587.090000,215.920000,491.260000,248.010000,410.140000,259.800000,338.020000,264.090000,263.030000,292.630000,169.250000
176.900000,587.140000,215.910000,491.310000,248.010000,410.150000,259.810000,338.020000,264.100000,263.030000,292.650000,169.240000
176.900000,587.180000,215.890000,491.340000,248.010000,410.160000,259.820000,338.010000,264.100000,263.030000,292.640000,169.220000
176.870000,587.190000,215.850000,491.380000,248.010000,410.170000,259.820000,338.010000,264.120000,263.030000,292.640000,169.220000
176.770000,587.210000,215.720000,491.430000,248.000000,410.180000,259.820000,338.020000,264.110000,263.030000,292.640000,169.220000
176.720000,587.200000,215.640000,491.490000,248.000000,410.190000,259.830000,338.040000,264.110000,263.030000,292.640000,169.220000
176.660000,587.200000,215.590000,491.560000,247.990000,410.190000,259.820000,338.050000,264.110000,263.030000,292.640000,169.220000
176.580000,587.200000,215.450000,491.570000,247.990000,410.190000,259.820000,338.060000,264.110000,263.030000,292.630000,169.220000
