pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
285.720000,104.080000,277.570000,180.020000,263.680000,287.950000,231.230000,404.840000,184.150000,499.730000
285.660000,104.080000,277.140000,179.980000,263.570000,287.930000,231.170000,404.800000,184.150000,499.710000
285.660000,104.070000,277.080000,179.970000,263.030000,287.910000,231.090000,404.790000,184.090000,499.700000
285.640000,104.080000,277.020000,180.010000,262.940000,287.930000,230.960000,404.800000,183.910000,499.640000
285.650000,104.060000,277.020000,179.980000,262.910000,287.970000,230.810000,404.840000,183.760000,499.640000
285.650000,104.070000,276.950000,179.990000,262.910000,288.010000,230.710000,404.860000,183.570000,499.650000
285.640000,104.050000,277.010000,179.980000,262.870000,288.030000,230.560000,404.900000,183.100000,499.720000
285.630000,104.210000,276.950000,180.050000,262.790000,288.100000,230.140000,404.990000,182.890000,499.660000
285.610000,104.190000,276.960000,180.060000,262.790000,288.110000,229.910000,405.010000,182.400000,499.690000
285.630000,104.150000,276.970000,180.060000,262.750000,288.270000,229.650000,405.060000,181.860000,499.710000
285.650000,104.150000,277.000000,180.050000,262.740000,288.330000,229.250000,405.230000,181.170000,499.820000
285.650000,104.130000,277.040000,180.040000,262.730000,288.440000,229.020000,405.380000,180.830000,499.780000
285.690000,104.160000,277.070000,180.040000,262.750000,288.970000,228.720000,405.980000,180.100000,499.890000
285.700000,104.150000,277.140000,180.040000,262.760000,288.990000,228.350000,406.110000,179.520000,499.930000
285.820000,104.120000,277.170000,180.040000,262.780000,289.140000,228.180000,406.270000,179.110000,499.940000
285.850000,104.150000,277.210000,180.060000,262.790000,289.180000,227.920000,406.440000,178.700000,499.930000
285.860000,104.160000,277.210000,180.050000,262.820000,289.500000,227.670000,407.030000,178.060000,500.010000
285.860000,104.160000,277.240000,180.030000,262.820000,289.900000,227.140000,407.700000,177.380000,500.080000
285.870000,104.110000,277.300000,180.030000,262.820000,289.930000,227.050000,407.850000,177.070000,500.070000
