pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
NaN,NaN,NaN,0.000000,0.000000,0.000000
