pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
286.540000,700.300000,308.530000,627.680000,322.770000,555.090000
286.660000,700.310000,308.570000,627.600000,322.820000,555.100000
286.710000,700.290000,308.650000,627.510000,322.790000,555.080000
286.710000,700.270000,308.640000,627.400000,322.830000,555.070000
286.760000,700.180000,308.700000,627.420000,322.820000,555.040000
286.890000,700.080000,308.830000,627.370000,322.870000,555.040000
286.900000,700.080000,308.830000,627.370000,322.930000,555.060000
286.930000,700.060000,308.860000,627.280000,322.850000,555.020000
287.030000,700.000000,308.950000,627.160000,323.020000,555.030000
287.100000,699.880000,308.970000,627.110000,322.980000,554.760000
287.150000,699.870000,309.000000,627.100000,323.110000,554.940000
287.190000,699.780000,309.100000,626.960000,323.110000,554.930000
287.220000,699.780000,309.150000,626.960000,323.110000,554.930000
287.370000,699.750000,309.270000,626.980000,323.100000,554.870000
287.390000,699.740000,309.260000,626.970000,323.120000,554.870000
287.510000,699.700000,309.270000,626.970000,323.120000,554.870000
287.690000,699.670000,309.350000,626.940000,323.450000,554.850000
287.790000,699.670000,309.580000,626.910000,323.370000,554.640000
287.810000,699.650000,309.640000,626.920000,323.210000,554.410000
287.840000,699.670000,309.600000,626.930000,323.230000,554.430000
287.870000,699.670000,309.610000,626.930000,323.350000,554.460000
287.950000,699.620000,309.640000,626.910000,323.690000,554.800000
287.980000,699.510000,309.690000,626.780000,323.570000,554.750000
288.170000,699.450000,310.040000,626.780000,323.630000,554.710000
288.190000,699.430000,310.050000,626.780000,323.630000,554.710000
288.230000,699.440000,310.060000,626.790000,323.860000,554.840000
288.230000,699.440000,310.060000,626.790000,323.860000,554.840000
288.240000,699.460000,310.090000,626.830000,323.920000,554.830000
288.240000,699.450000,310.100000,626.830000,323.930000,554.800000
288.370000,699.400000,310.140000,626.800000,323.980000,554.580000
288.380000,699.390000,310.140000,626.780000,323.960000,554.380000
288.410000,699.380000,310.150000,626.780000,323.950000,554.310000
288.420000,699.390000,310.150000,626.770000,323.960000,554.350000
288.410000,699.380000,310.150000,626.760000,323.910000,554.340000
288.440000,699.370000,310.160000,626.740000,324.020000,554.370000
288.480000,699.290000,310.190000,626.740000,324.030000,554.380000
288.620000,699.310000,310.230000,626.670000,324.020000,554.390000
288.650000,699.240000,310.210000,626.570000,324.020000,554.360000
288.720000,699.270000,310.210000,626.520000,324.040000,554.260000
288.790000,699.250000,310.260000,626.470000,323.990000,554.330000
288.800000,699.240000,310.260000,626.460000,323.980000,554.340000
288.900000,699.140000,310.370000,626.460000,324.030000,554.210000
288.930000,699.130000,310.360000,626.400000,324.050000,554.200000
288.940000,699.110000,310.380000,626.380000,324.130000,554.230000
288.960000,699.100000,310.390000,626.370000,324.130000,554.250000
289.080000,699.050000,310.450000,626.390000,324.130000,554.250000
289.140000,699.040000,310.750000,626.330000,324.130000,554.220000
289.200000,699.030000,310.820000,626.300000,324.150000,554.290000
289.250000,698.970000,310.900000,626.350000,324.230000,554.090000
