390.290168,258.383097,186.495051,575.963432,233.270373,492.157648,274.198779,408.351864,305.382327,322.597108
389.99,258,185.98,576.02,232.96,492.04,274.03,408.03,304.99,323.02
389.99,258,185.98,575.99,233,491.99,274.04,407.99,304.98,323.01
389.99,258,185.98,576.01,232.98,492.04,274.02,408.02,304.99,322.95
389.99,258,185.97,575.99,232.97,492.07,274.01,408.01,305.07,322.99
389.99,258.01,185.94,576.02,232.96,492.03,274.01,408.05,304.94,322.98
389.99,258,185.93,576.03,232.96,491.99,273.95,408.07,305.02,323.02
389.98,258,185.98,576.02,232.9,492,273.98,408.09,304.94,322.97
389.98,258,185.96,575.98,232.9,491.99,273.97,407.98,305.01,323
389.99,258,185.98,575.99,232.96,492,274.01,408.04,305.08,323.14
389.99,257.99,185.97,575.99,232.94,491.96,274.03,408.05,305,323.08
390,257.99,185.95,575.99,232.92,492,274.04,408.05,305.13,323.14
390,257.98,185.93,575.96,232.96,492.01,273.99,408.02,305.04,323.08
389.99,257.98,185.93,575.97,232.9,492,273.96,408.03,305.08,323.18
389.99,257.98,185.89,576.01,232.86,491.97,273.95,408.06,305.03,323.08
389.99,257.99,185.88,576.01,232.84,491.98,273.94,408.03,304.96,323.06
389.99,257.99,185.85,576.04,232.86,492.01,274,408.01,305.04,323.04
389.99,257.99,185.89,576.01,232.85,492,274,408.05,305.07,323.03
389.99,258.01,185.91,576.02,232.87,491.99,273.85,408.06,305.07,323.01
389.98,258.01,185.9,576,232.81,492.03,273.96,408.08,304.97,323.06
389.98,258.01,185.86,575.99,232.81,492.06,273.92,408.06,304.9,323.07
389.99,258.01,185.88,576.02,232.85,492.07,274,408.12,305.03,323.12
389.99,258,185.88,575.99,232.89,492.06,273.94,408.08,305.04,323.1
390,258,185.9,576.02,232.89,492.07,273.89,408.12,305,323.05
390.01,257.99,185.91,576.03,232.84,492.07,273.94,408.08,305.09,323.03
390.01,258,185.92,576.02,232.84,492.05,273.89,408.09,304.95,323.03
390.02,258,185.92,576.04,232.9,492.07,273.92,408.09,304.99,323.04
390.03,257.99,185.94,576.06,232.91,492.08,273.95,408.11,305.01,323.05
390.04,257.99,185.94,576.07,232.9,492.07,274.01,408.11,305.03,323.07
390.05,257.99,185.97,576.08,232.89,492.08,273.98,408.09,305.09,323.1
