288.24,699.46,310.09,626.83,323.92,554.83
288.24,699.45,310.1,626.83,323.93,554.8
288.37,699.4,310.14,626.8,323.98,554.58
288.38,699.39,310.14,626.78,323.96,554.38
288.41,699.38,310.15,626.78,323.95,554.31
288.42,699.39,310.15,626.77,323.96,554.35
288.41,699.38,310.15,626.76,323.91,554.34
288.44,699.37,310.16,626.74,324.02,554.37
288.48,699.29,310.19,626.74,324.03,554.38
288.62,699.31,310.23,626.67,324.02,554.39
288.65,699.24,310.21,626.57,324.02,554.36
288.72,699.27,310.21,626.52,324.04,554.26
288.79,699.25,310.26,626.47,323.99,554.33
288.8,699.24,310.26,626.46,323.98,554.34
288.9,699.14,310.37,626.46,324.03,554.21
288.93,699.13,310.36,626.4,324.05,554.2
288.94,699.11,310.38,626.38,324.13,554.23
288.96,699.1,310.39,626.37,324.13,554.25
289.08,699.05,310.45,626.39,324.13,554.25
289.14,699.04,310.75,626.33,324.13,554.22
289.2,699.03,310.82,626.3,324.15,554.29
289.25,698.97,310.9,626.35,324.23,554.09
289.3,698.86,310.91,626.34,324.3,554.3
289.42,698.81,310.94,626.31,324.3,554.26
289.61,698.86,311,626.18,324.32,554.15
289.67,698.87,311.02,626.17,324.36,554.16
289.94,698.9,311.22,626.13,324.57,554.05
289.96,698.89,311.22,626.13,324.68,554.06
290.02,698.85,311.39,626.12,324.74,554.07
290.17,698.83,311.54,626.05,324.89,554.04
290.23,698.81,311.56,626.06,324.78,553.98
290.46,698.75,311.65,625.97,324.81,553.98
290.64,698.64,311.72,625.98,324.84,554.05
290.79,698.58,311.8,625.88,324.99,554.11
291.03,698.58,312.12,625.88,325.01,554.11
291.26,698.55,312.25,625.83,325.41,554.16
291.54,698.55,312.61,625.88,325.57,554.09
291.71,698.56,312.64,625.89,325.69,554.1
291.8,698.59,312.85,625.92,325.69,553.95
291.85,698.61,312.89,625.93,325.82,554
291.93,698.58,312.96,625.93,325.79,554
292.03,698.59,313.1,625.82,325.78,554
292.04,698.48,313.18,625.84,325.78,554
292.1,698.39,313.18,625.83,325.87,554
292.12,698.39,313.18,625.83,325.88,553.99
292.15,698.37,313.18,625.82,325.93,553.86
292.17,698.38,313.18,625.81,325.93,553.86
292.28,698.38,313.21,625.82,325.89,553.88
292.29,698.37,313.2,625.8,325.98,554
292.31,698.39,313.19,625.8,325.98,554.01
292.41,698.31,313.34,625.71,326.1,553.9
292.42,698.28,313.37,625.71,326,553.84
292.45,698.3,313.37,625.71,326.02,553.83
292.54,698.26,313.38,625.57,326.05,553.84
292.74,698.19,313.54,625.53,326.07,553.85
292.86,698.21,313.71,625.55,326.26,553.76
292.87,698.2,313.77,625.59,326.14,553.62
292.9,698.2,313.77,625.6,326.34,553.39
293.1,698.2,313.91,625.59,326.48,553.65
293.11,698.2,313.94,625.57,326.56,553.82
293.16,698.17,314.01,625.57,326.56,553.82
293.13,698.13,314.1,625.43,326.55,553.81
293.34,698,314.08,625.32,326.74,553.62
293.34,698.01,314.08,625.31,326.76,553.64
293.35,698,314.16,625.3,326.72,553.58
293.45,698.02,314.26,625.26,326.73,553.57
293.57,698,314.3,625.19,326.73,553.55
293.65,697.95,314.31,625.19,326.73,553.56
293.88,697.92,314.4,625.16,326.73,553.56
293.87,697.9,314.48,625.19,326.95,553.6
293.89,697.91,314.54,625.21,326.97,553.59
294,697.88,314.73,625.24,326.96,553.63
294.06,697.88,314.86,625.16,327.15,553.68
294.09,697.85,314.86,625.15,327.16,553.67
294.18,697.91,314.95,625.15,327.33,553.33
294.21,697.87,314.92,625.13,327.29,553.18
294.21,697.86,314.98,625.17,327.29,553.19
294.28,697.88,315.03,625.19,327.3,553.2
294.28,697.89,315.01,625.17,327.34,553.03
294.34,697.91,315.02,625.17,327.37,553.34
294.34,697.89,315.03,625.18,327.28,553.63
294.34,697.88,315.02,625.17,327.27,553.62
294.34,697.88,315.02,625.17,327.44,553.42
294.33,697.9,315.02,625.14,327.53,553.23
294.35,697.89,315.01,625.14,327.45,553.35
294.34,697.89,315.02,625.14,327.39,553.34
294.37,697.83,315.05,625.09,327.39,553.1
294.32,697.85,315.06,625.09,327.61,553.36
294.34,697.84,315.06,625.1,327.25,553.29
294.33,697.8,315.06,625.09,327.17,553.13
294.34,697.85,315.05,625.1,327.2,553.13
294.34,697.85,315.05,625.1,327.2,553.13
294.36,697.84,315.04,625.1,327.2,553.13
294.37,697.81,315.04,625.1,327.2,553.13
294.37,697.81,315.02,625.05,327.22,553.12
294.35,697.77,315.02,625.06,327.22,553.17
294.36,697.78,315.01,625.05,327.25,553.17
294.36,697.78,315,625.05,327.25,553.17
294.35,697.71,315.04,625.05,327.44,553.13
294.37,697.72,315.02,625.06,327.48,553.08
294.37,697.7,315.01,625.03,327.43,553.07
294.37,697.72,315.03,625.05,327.35,553.07
294.37,697.71,315.04,625.06,327.36,553.07
294.36,697.72,315.05,625.06,327.36,553.07
294.36,697.72,315.05,625.06,327.36,553.07
294.36,697.71,315.05,625.05,327.35,553.08
294.37,697.7,315.04,625.05,327.36,553.07
294.3,697.68,315.03,625.04,327.41,553.1
294.32,697.67,315.02,625.03,327.41,553.1
294.3,697.67,314.99,625.02,327.41,553.1
294.22,697.66,314.87,624.96,327.13,553.17
294.17,697.66,314.84,624.97,327.11,553.15
294.15,697.64,314.8,624.96,327.1,553.14
294.14,697.64,314.77,624.95,326.9,553.12
293.99,697.62,314.73,624.93,326.73,553.15
293.94,697.62,314.74,624.95,326.74,553.15
293.94,697.62,314.67,624.96,326.85,553.06
293.95,697.58,314.65,624.95,326.85,553.07
293.96,697.57,314.65,624.96,326.85,553.12
293.92,697.54,314.61,624.95,326.9,553.13
293.91,697.55,314.59,624.95,326.84,553.13
293.91,697.53,314.58,624.95,326.83,553.13
293.76,697.59,314.27,624.91,326.66,553.25
293.73,697.6,314.24,624.93,326.67,553.05
293.35,697.51,313.97,624.87,326.52,553.3
293.16,697.45,313.83,624.9,326.37,553.29
292.86,697.38,313.44,624.91,325.88,553.17
292.41,697.39,313.01,624.87,325.6,553.2
291.83,697.33,312.53,624.88,324.98,553.15
291.16,697.19,311.88,624.79,324.25,553.21
290.61,697.08,311.31,624.74,323.76,553.21
290.03,697.14,310.78,624.71,323.11,553.25
289.42,697.13,310.16,624.56,322.43,553.21
289.02,697.06,309.71,624.47,322.15,552.95
288.83,697.04,309.28,624.33,321.91,553.25
288.73,697.06,309.19,624.38,321.87,553.14
288.35,697.02,308.97,624.43,321.86,553.14
288.18,696.98,308.82,624.44,321.49,553.21
287.78,696.94,308.43,624.22,321.24,553.18
287.38,696.67,308.24,623.97,321.29,553.13
287.39,696.35,308.28,623.95,321.31,553.12
