pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
474.122221,702.202919,0.000000,0.000000
473.990000,701.980000,0.000000,0.000000
473.990000,701.980000,0.000000,0.000000
474.000000,701.990000,0.000000,0.000000
473.990000,701.990000,0.000000,0.000000
473.990000,702.000000,0.000000,0.000000
473.990000,701.950000,0.000000,0.000000
473.970000,701.930000,0.000000,0.000000
474.000000,701.960000,0.000000,0.000000
473.990000,701.950000,0.000000,0.000000
473.950000,701.940000,0.000000,0.000000
473.950000,701.920000,0.000000,0.000000
473.960000,701.920000,0.000000,0.000000
473.970000,701.930000,0.000000,0.000000
473.970000,701.910000,0.000000,0.000000
473.970000,701.930000,0.000000,0.000000
474.000000,701.930000,0.000000,0.000000
473.970000,701.940000,0.000000,0.000000
473.950000,701.910000,0.000000,0.000000
473.970000,701.910000,0.000000,0.000000
473.980000,701.970000,0.000000,0.000000
473.990000,702.020000,0.000000,0.000000
473.980000,702.030000,0.000000,0.000000
473.970000,702.030000,0.000000,0.000000
473.980000,702.040000,0.000000,0.000000
473.970000,702.070000,0.000000,0.000000
474.000000,702.170000,0.000000,0.000000
474.000000,702.220000,0.000000,0.000000
473.970000,702.310000,0.000000,0.000000
473.980000,702.270000,0.000000,0.000000
473.960000,702.300000,0.000000,0.000000
473.960000,702.370000,0.000000,0.000000
473.960000,702.430000,0.000000,0.000000
473.900000,702.610000,0.000000,0.000000
473.850000,702.730000,0.000000,0.000000
473.870000,702.720000,0.000000,0.000000
473.830000,702.730000,0.000000,0.000000
473.750000,702.820000,0.000000,0.000000
473.800000,702.870000,0.000000,0.000000
473.800000,702.870000,0.000000,0.000000
473.740000,702.930000,0.000000,0.000000
473.740000,702.910000,0.000000,0.000000
473.730000,702.980000,0.000000,0.000000
473.800000,702.970000,0.000000,0.000000
473.780000,703.050000,0.000000,0.000000
473.750000,703.110000,0.000000,0.000000
473.770000,703.120000,0.000000,0.000000
473.800000,703.130000,0.000000,0.000000
473.770000,703.120000,0.000000,0.000000
473.800000,703.180000,0.000000,0.000000
473.780000,703.260000,0.000000,0.000000
473.800000,703.280000,0.000000,0.000000
473.760000,703.270000,0.000000,0.000000
